layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,cross_attn,1106,553,0.6193490054249547,0.7070524412296564,0.98125,0.7575757575757576,0.56875,0.8776595744680851,0.21,0.4,0.6325392220073071
1,mean_over_tokens,cross_attn,1106,553,0.6329113924050633,0.7251356238698011,0.99375,0.7626262626262627,0.5875,0.8670212765957447,0.245,0.42,0.6459829232036679
2,mean_over_tokens,cross_attn,1106,553,0.620253164556962,0.7106690777576854,0.9875,0.7676767676767676,0.55,0.8617021276595744,0.23,0.4,0.6328131492227237
3,mean_over_tokens,cross_attn,1106,553,0.5858951175406871,0.6763110307414105,0.9875,0.7070707070707071,0.50625,0.8670212765957447,0.165,0.365,0.5996403306110754
4,mean_over_tokens,cross_attn,1106,553,0.5822784810126582,0.674502712477396,0.98125,0.702020202020202,0.5125,0.824468085106383,0.2,0.355,0.5958730478544308
5,mean_over_tokens,cross_attn,1106,553,0.5669077757685352,0.674502712477396,0.99375,0.6767676767676768,0.5375,0.8297872340425532,0.175,0.285,0.5829674851350384
6,mean_over_tokens,cross_attn,1106,553,0.6003616636528029,0.6962025316455697,1.0,0.7272727272727273,0.53125,0.8670212765957447,0.2,0.36,0.6142573339780787
7,mean_over_tokens,cross_attn,1106,553,0.596745027124774,0.6835443037974683,0.96875,0.7424242424242424,0.5375,0.8670212765957447,0.195,0.35,0.6101159198366645
8,mean_over_tokens,cross_attn,1106,553,0.6121157323688969,0.7070524412296564,0.99375,0.7727272727272727,0.53125,0.8670212765957447,0.215,0.37,0.6249580915538363
9,mean_over_tokens,cross_attn,1106,553,0.6175406871609403,0.7124773960216998,0.9875,0.7373737373737373,0.53125,0.8776595744680851,0.235,0.41,0.6297972186403037
10,mean_over_tokens,cross_attn,1106,553,0.6274864376130199,0.7197106690777577,0.9875,0.7575757575757576,0.59375,0.8829787234042553,0.235,0.39,0.6411340801633355
11,mean_over_tokens,cross_attn,1106,553,0.6301989150090416,0.7179023508137432,1.0,0.7777777777777778,0.575,0.8670212765957447,0.225,0.415,0.6432998423955871
12,mean_over_tokens,cross_attn,1106,553,0.6220614828209765,0.7124773960216998,0.98125,0.7727272727272727,0.55,0.8829787234042553,0.23,0.39,0.6344926660219213
13,mean_over_tokens,cross_attn,1106,553,0.6211573236889693,0.7160940325497287,0.98125,0.7575757575757576,0.56875,0.8723404255319149,0.235,0.39,0.6341526971846121
14,mean_over_tokens,cross_attn,1106,553,0.6220614828209765,0.7124773960216998,0.98125,0.7474747474747475,0.59375,0.8829787234042553,0.225,0.385,0.6359089118131672
15,mean_over_tokens,cross_attn,1106,553,0.6229656419529838,0.7070524412296564,0.9875,0.7525252525252525,0.575,0.8670212765957447,0.22,0.415,0.6361744215201662
16,mean_over_tokens,cross_attn,1106,553,0.6238698010849909,0.7124773960216998,0.9875,0.7474747474747475,0.5625,0.8776595744680851,0.22,0.425,0.6366890536571388
17,mean_over_tokens,cross_attn,1106,553,0.6238698010849909,0.7142857142857143,0.9875,0.7474747474747475,0.575,0.8776595744680851,0.225,0.41,0.6371057203238054
18,mean_over_tokens,cross_attn,1106,553,0.6211573236889693,0.7088607594936709,0.9875,0.7474747474747475,0.575,0.8723404255319149,0.22,0.405,0.6345525288344437
19,mean_over_tokens,cross_attn,1106,553,0.6211573236889693,0.7088607594936709,0.9875,0.7474747474747475,0.575,0.8776595744680851,0.215,0.405,0.6346057203238055
