layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,mix_ffn,1106,553,0.07685352622061482,0.11934900542495479,0.15625,0.04040404040404041,0.0375,0.21808510638297873,0.015,0.01,0.07953985779783652
1,mean_over_tokens,mix_ffn,1106,553,0.527124773960217,0.6256781193490054,0.98125,0.6414141414141414,0.3,0.8457446808510638,0.165,0.295,0.5380681370442009
2,mean_over_tokens,mix_ffn,1106,553,0.5605786618444847,0.6690777576853526,0.9875,0.6767676767676768,0.43125,0.8563829787234043,0.16,0.33,0.5736501092485136
3,mean_over_tokens,mix_ffn,1106,553,0.6139240506329114,0.7197106690777577,0.9875,0.7373737373737373,0.5,0.8670212765957447,0.24,0.42,0.6253158356615803
4,mean_over_tokens,mix_ffn,1106,553,0.5994575045207957,0.6907775768535263,0.975,0.7373737373737373,0.48125,0.8617021276595744,0.23,0.38,0.6108876441722185
5,mean_over_tokens,mix_ffn,1106,553,0.620253164556962,0.7251356238698011,0.9875,0.7424242424242424,0.55625,0.851063829787234,0.245,0.415,0.632873012035246
6,mean_over_tokens,mix_ffn,1106,553,0.6121157323688969,0.7034358047016275,0.975,0.7676767676767676,0.51875,0.8351063829787234,0.225,0.42,0.6235888584425818
7,mean_over_tokens,mix_ffn,1106,553,0.6066907775768535,0.7034358047016275,0.98125,0.7575757575757576,0.51875,0.8563829787234043,0.225,0.375,0.6189931227165271
8,mean_over_tokens,mix_ffn,1106,553,0.6175406871609403,0.7106690777576854,0.9875,0.7828282828282829,0.525,0.8723404255319149,0.235,0.375,0.6296114513933663
9,mean_over_tokens,mix_ffn,1106,553,0.6184448462929476,0.6943942133815552,0.9875,0.8232323232323232,0.5,0.8457446808510638,0.24,0.38,0.6294128340138978
10,mean_over_tokens,mix_ffn,1106,553,0.6256781193490054,0.7106690777576854,0.975,0.797979797979798,0.55625,0.8936170212765957,0.235,0.37,0.6379744698760657
11,mean_over_tokens,mix_ffn,1106,553,0.64376130198915,0.7215189873417721,0.9875,0.8080808080808081,0.6125,0.8776595744680851,0.235,0.42,0.6567900637581489
12,mean_over_tokens,mix_ffn,1106,553,0.6347197106690777,0.7124773960216998,0.96875,0.8131313131313131,0.58125,0.8776595744680851,0.23,0.41,0.6467984812665664
13,mean_over_tokens,mix_ffn,1106,553,0.6274864376130199,0.7124773960216998,0.975,0.803030303030303,0.575,0.8829787234042553,0.205,0.4,0.6401681710724263
14,mean_over_tokens,mix_ffn,1106,553,0.6311030741410488,0.7142857142857143,0.975,0.7626262626262627,0.58125,0.8723404255319149,0.25,0.42,0.6435361146930295
15,mean_over_tokens,mix_ffn,1106,553,0.6184448462929476,0.7124773960216998,0.98125,0.7575757575757576,0.5875,0.8563829787234043,0.22,0.39,0.632118122716527
16,mean_over_tokens,mix_ffn,1106,553,0.6311030741410488,0.7197106690777577,0.9875,0.7575757575757576,0.60625,0.8617021276595744,0.23,0.425,0.6446713142058887
17,mean_over_tokens,mix_ffn,1106,553,0.6374321880650995,0.7269439421338155,0.98125,0.7727272727272727,0.55,0.8670212765957447,0.255,0.465,0.6484997582205029
18,mean_over_tokens,mix_ffn,1106,553,0.6265822784810127,0.7160940325497287,0.9875,0.8333333333333334,0.56875,0.8457446808510638,0.22,0.38,0.6392213356973996
19,mean_over_tokens,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.99375,0.803030303030303,0.56875,0.851063829787234,0.235,0.37,0.6369323554695895
