layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,self_attn,1106,553,0.6320072332730561,0.72875226039783,0.975,0.7929292929292929,0.6,0.8617021276595744,0.235,0.405,0.6449385700981445
1,mean_over_tokens,self_attn,1106,553,0.6157323688969258,0.6980108499095841,1.0,0.7777777777777778,0.58125,0.8670212765957447,0.19,0.365,0.630174842395587
2,mean_over_tokens,self_attn,1106,553,0.5985533453887885,0.6907775768535263,0.99375,0.7323232323232324,0.55625,0.8563829787234043,0.19,0.35,0.6131177018411061
3,mean_over_tokens,self_attn,1106,553,0.608499095840868,0.701627486437613,0.9875,0.7171717171717171,0.53125,0.8829787234042553,0.205,0.405,0.6214834067626621
4,mean_over_tokens,self_attn,1106,553,0.6139240506329114,0.701627486437613,0.99375,0.7424242424242424,0.54375,0.8723404255319149,0.19,0.42,0.6270441113260262
5,mean_over_tokens,self_attn,1106,553,0.620253164556962,0.7088607594936709,0.99375,0.7727272727272727,0.5875,0.8670212765957447,0.21,0.375,0.6343330915538362
6,mean_over_tokens,self_attn,1106,553,0.6094032549728752,0.6998191681735986,0.9875,0.7424242424242424,0.5375,0.8882978723404256,0.175,0.405,0.622620352460778
7,mean_over_tokens,self_attn,1106,553,0.6139240506329114,0.7106690777576854,0.98125,0.7373737373737373,0.54375,0.8723404255319149,0.205,0.42,0.6266190271509421
8,mean_over_tokens,self_attn,1106,553,0.6139240506329114,0.7088607594936709,0.9875,0.7272727272727273,0.5375,0.8617021276595744,0.215,0.43,0.6264958091553836
9,mean_over_tokens,self_attn,1106,553,0.6301989150090416,0.7233273056057866,1.0,0.7727272727272727,0.60625,0.8723404255319149,0.2,0.415,0.644386283043198
10,mean_over_tokens,self_attn,1106,553,0.6148282097649186,0.6925858951175407,0.9875,0.7474747474747475,0.55,0.8776595744680851,0.225,0.38,0.6279390536571389
11,mean_over_tokens,self_attn,1106,553,0.6238698010849909,0.7179023508137432,0.99375,0.7676767676767676,0.55625,0.8670212765957447,0.24,0.395,0.6366163407120854
12,mean_over_tokens,self_attn,1106,553,0.6238698010849909,0.7269439421338155,0.99375,0.7777777777777778,0.53125,0.8670212765957447,0.255,0.39,0.6357998423955872
13,mean_over_tokens,self_attn,1106,553,0.6256781193490054,0.7106690777576854,0.99375,0.7777777777777778,0.5625,0.8829787234042553,0.22,0.395,0.6386677501970056
14,mean_over_tokens,self_attn,1106,553,0.6265822784810127,0.7179023508137432,0.98125,0.7828282828282829,0.55625,0.8882978723404256,0.22,0.405,0.6389376925281182
15,mean_over_tokens,self_attn,1106,553,0.6347197106690777,0.7233273056057866,0.9875,0.797979797979798,0.5625,0.8723404255319149,0.245,0.415,0.6467200372519523
16,mean_over_tokens,self_attn,1106,553,0.6283905967450272,0.7197106690777577,0.9875,0.797979797979798,0.54375,0.8776595744680851,0.24,0.395,0.6403148954079805
17,mean_over_tokens,self_attn,1106,553,0.6265822784810127,0.7197106690777577,0.98125,0.7828282828282829,0.5875,0.8617021276595744,0.215,0.41,0.6397134017479762
18,mean_over_tokens,self_attn,1106,553,0.6229656419529838,0.7106690777576854,0.9875,0.7727272727272727,0.54375,0.8670212765957447,0.255,0.385,0.6351664248871695
19,mean_over_tokens,self_attn,1106,553,0.635623869801085,0.72875226039783,0.99375,0.7878787878787878,0.58125,0.8723404255319149,0.225,0.43,0.6483698689017839
