layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,cross_attn,1106,553,0.6103074141048824,0.6998191681735986,0.975,0.7626262626262627,0.55,0.8563829787234043,0.21,0.385,0.6231682068916111
1,mean_per_token,cross_attn,1106,553,0.6311030741410488,0.7197106690777577,0.9875,0.7727272727272727,0.6,0.851063829787234,0.215,0.44,0.6443818504190845
2,mean_per_token,cross_attn,1106,553,0.6148282097649186,0.7179023508137432,0.9875,0.7575757575757576,0.5375,0.8723404255319149,0.23,0.38,0.6274860305179454
3,mean_per_token,cross_attn,1106,553,0.5741410488245932,0.6708860759493671,0.99375,0.7070707070707071,0.45,0.8617021276595744,0.155,0.355,0.5870871391217136
4,mean_per_token,cross_attn,1106,553,0.5985533453887885,0.6998191681735986,0.98125,0.7121212121212122,0.56875,0.8563829787234043,0.185,0.375,0.6130840318074361
5,mean_per_token,cross_attn,1106,553,0.5506329113924051,0.650994575045208,0.9875,0.6111111111111112,0.50625,0.8297872340425532,0.17,0.295,0.5666080575256106
6,mean_per_token,cross_attn,1106,553,0.6148282097649186,0.705244122965642,0.99375,0.7525252525252525,0.5375,0.8882978723404256,0.2,0.395,0.6278455208109464
7,mean_per_token,cross_attn,1106,553,0.5940325497287523,0.6853526220614828,0.96875,0.7121212121212122,0.53125,0.8617021276595744,0.195,0.375,0.6073038899634644
8,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7305605786618445,0.99375,0.7727272727272727,0.55,0.8723404255319149,0.24,0.4,0.6381362830431979
9,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7251356238698011,0.9875,0.7323232323232324,0.5625,0.8882978723404256,0.225,0.42,0.6359368507772764
10,mean_per_token,cross_attn,1106,553,0.6283905967450272,0.7251356238698011,0.9875,0.7626262626262627,0.56875,0.8882978723404256,0.245,0.395,0.6411956891611148
11,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.99375,0.7727272727272727,0.58125,0.8617021276595744,0.215,0.395,0.6365715667311412
12,mean_per_token,cross_attn,1106,553,0.620253164556962,0.705244122965642,0.98125,0.7676767676767676,0.5375,0.8723404255319149,0.22,0.415,0.6322945322014472
13,mean_per_token,cross_attn,1106,553,0.6211573236889693,0.7088607594936709,0.98125,0.7626262626262627,0.55,0.8670212765957447,0.22,0.42,0.633482923203668
14,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7215189873417721,0.98125,0.7474747474747475,0.5875,0.8829787234042553,0.23,0.405,0.6390339118131672
15,mean_per_token,cross_attn,1106,553,0.6193490054249547,0.7088607594936709,0.98125,0.7525252525252525,0.5625,0.8617021276595744,0.225,0.41,0.6321628966974712
16,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7160940325497287,0.98125,0.7474747474747475,0.575,0.8776595744680851,0.22,0.415,0.6360640536571388
17,mean_per_token,cross_attn,1106,553,0.6193490054249547,0.7070524412296564,0.9875,0.7424242424242424,0.56875,0.8723404255319149,0.225,0.4,0.6326691113260262
18,mean_per_token,cross_attn,1106,553,0.6238698010849909,0.7106690777576854,0.98125,0.7525252525252525,0.58125,0.8776595744680851,0.22,0.41,0.637114137832223
19,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.9875,0.7373737373737373,0.56875,0.8776595744680851,0.225,0.42,0.6360472186403038
