layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,self_attn,1106,553,0.635623869801085,0.7197106690777577,0.9875,0.7626262626262627,0.575,0.8617021276595744,0.205,0.495,0.6478047317143063
1,mean_per_token,self_attn,1106,553,0.6374321880650995,0.7251356238698011,1.0,0.7777777777777778,0.59375,0.8776595744680851,0.255,0.4,0.650697892040977
2,mean_per_token,self_attn,1106,553,0.6139240506329114,0.6962025316455697,0.9875,0.7373737373737373,0.5875,0.8723404255319149,0.205,0.38,0.6282856938176087
3,mean_per_token,self_attn,1106,553,0.6301989150090416,0.7124773960216998,0.99375,0.7474747474747475,0.6,0.8882978723404256,0.23,0.405,0.6440871033025287
4,mean_per_token,self_attn,1106,553,0.6184448462929476,0.7197106690777577,0.99375,0.7474747474747475,0.5625,0.8670212765957447,0.2,0.42,0.6317910040117488
5,mean_per_token,self_attn,1106,553,0.6148282097649186,0.7034358047016275,0.9875,0.7676767676767676,0.54375,0.8457446808510638,0.185,0.435,0.6274452414213052
6,mean_per_token,self_attn,1106,553,0.6094032549728752,0.6998191681735986,0.99375,0.7525252525252525,0.53125,0.8829787234042553,0.185,0.39,0.6225839959882513
7,mean_per_token,self_attn,1106,553,0.6193490054249547,0.7142857142857143,0.98125,0.7575757575757576,0.575,0.8723404255319149,0.215,0.395,0.6326943638512786
8,mean_per_token,self_attn,1106,553,0.6193490054249547,0.7197106690777577,0.98125,0.7676767676767676,0.55625,0.8776595744680851,0.195,0.415,0.6321393903574754
9,mean_per_token,self_attn,1106,553,0.6365280289330922,0.7251356238698011,0.99375,0.7828282828282829,0.56875,0.8670212765957447,0.24,0.44,0.6487249265706713
10,mean_per_token,self_attn,1106,553,0.6139240506329114,0.701627486437613,0.98125,0.7676767676767676,0.5625,0.8882978723404256,0.215,0.35,0.6274541066695322
11,mean_per_token,self_attn,1106,553,0.6247739602169982,0.7323688969258589,0.9875,0.7777777777777778,0.5625,0.8776595744680851,0.21,0.41,0.6375728920409772
12,mean_per_token,self_attn,1106,553,0.6347197106690777,0.7305605786618445,1.0,0.7777777777777778,0.55625,0.8723404255319149,0.23,0.445,0.6468947005516154
13,mean_per_token,self_attn,1106,553,0.6256781193490054,0.705244122965642,0.9875,0.7777777777777778,0.58125,0.8723404255319149,0.21,0.405,0.6389780338849489
14,mean_per_token,self_attn,1106,553,0.6256781193490054,0.7233273056057866,0.975,0.7878787878787878,0.55625,0.8776595744680851,0.225,0.405,0.6377980603911455
15,mean_per_token,self_attn,1106,553,0.6238698010849909,0.7070524412296564,0.9875,0.7878787878787878,0.5375,0.8723404255319149,0.24,0.39,0.6358698689017838
16,mean_per_token,self_attn,1106,553,0.6320072332730561,0.7215189873417721,0.98125,0.7929292929292929,0.55625,0.8723404255319149,0.225,0.435,0.643794953076868
17,mean_per_token,self_attn,1106,553,0.6320072332730561,0.7269439421338155,0.98125,0.7727272727272727,0.575,0.8670212765957447,0.22,0.45,0.6443330915538363
18,mean_per_token,self_attn,1106,553,0.6247739602169982,0.7142857142857143,0.9875,0.7626262626262627,0.58125,0.8670212765957447,0.22,0.41,0.6380662565370013
19,mean_per_token,self_attn,1106,553,0.6320072332730561,0.7251356238698011,0.975,0.8181818181818182,0.575,0.8829787234042553,0.215,0.4,0.6443600902643455
