layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_colors_score,task_position_score,task_two_object_score,task_single_object_score,task_color_attr_score,task_counting_score,overall_score
0,zero,mix_ffn,1106,553,0.09584086799276673,0.13562386980108498,0.2872340425531915,0.005,0.045454545454545456,0.24375,0.0,0.01875,0.10003143133462283
1,zero,mix_ffn,1106,553,0.5424954792043399,0.6274864376130199,0.8404255319148937,0.16,0.6313131313131313,0.9875,0.33,0.38125,0.5550814438713375
2,zero,mix_ffn,1106,553,0.5741410488245932,0.6690777576853526,0.8457446808510638,0.18,0.702020202020202,0.98125,0.365,0.44375,0.586294147145211
3,zero,mix_ffn,1106,553,0.6121157323688969,0.7070524412296564,0.8723404255319149,0.205,0.7272727272727273,0.9875,0.425,0.53125,0.624727192134107
4,zero,mix_ffn,1106,553,0.5922242314647378,0.6907775768535263,0.8351063829787234,0.2,0.7525252525252525,0.98125,0.395,0.45625,0.603355272583996
5,zero,mix_ffn,1106,553,0.6220614828209765,0.7233273056057866,0.8457446808510638,0.25,0.7676767676767676,0.9875,0.43,0.51875,0.6332785747546387
6,zero,mix_ffn,1106,553,0.6148282097649186,0.7070524412296564,0.851063829787234,0.22,0.7777777777777778,0.98125,0.4,0.53125,0.626890267927502
7,zero,mix_ffn,1106,553,0.6121157323688969,0.7034358047016275,0.8563829787234043,0.2,0.7727272727272727,0.9875,0.38,0.55625,0.6254767085751128
8,zero,mix_ffn,1106,553,0.6157323688969258,0.7034358047016275,0.8723404255319149,0.24,0.7777777777777778,0.975,0.385,0.5125,0.6271030338849489
9,zero,mix_ffn,1106,553,0.6338155515370705,0.7233273056057866,0.8670212765957447,0.25,0.8232323232323232,0.98125,0.415,0.53125,0.6446255999713446
10,zero,mix_ffn,1106,553,0.6338155515370705,0.7359855334538878,0.8617021276595744,0.235,0.8080808080808081,0.975,0.425,0.56875,0.6455888226233971
11,zero,mix_ffn,1106,553,0.6329113924050633,0.7233273056057866,0.8563829787234043,0.225,0.7929292929292929,0.9875,0.45,0.55625,0.6446770452754496
12,zero,mix_ffn,1106,553,0.6301989150090416,0.7160940325497287,0.8776595744680851,0.235,0.8282828282828283,0.9875,0.365,0.5625,0.6426570671251522
13,zero,mix_ffn,1106,553,0.6229656419529838,0.7179023508137432,0.8723404255319149,0.21,0.7929292929292929,0.98125,0.395,0.5625,0.6356699530768679
14,zero,mix_ffn,1106,553,0.6329113924050633,0.7305605786618445,0.8617021276595744,0.235,0.7878787878787878,0.98125,0.425,0.58125,0.6453468192563937
15,zero,mix_ffn,1106,553,0.6274864376130199,0.7359855334538878,0.8670212765957447,0.205,0.8131313131313131,0.9875,0.415,0.55,0.6396087649545096
16,zero,mix_ffn,1106,553,0.620253164556962,0.7088607594936709,0.8617021276595744,0.225,0.7676767676767676,0.975,0.38,0.59375,0.6338548158893903
17,zero,mix_ffn,1106,553,0.6166365280289331,0.7034358047016275,0.8723404255319149,0.215,0.7575757575757576,0.98125,0.39,0.5625,0.6297776971846122
18,zero,mix_ffn,1106,553,0.6148282097649186,0.6962025316455697,0.8563829787234043,0.25,0.7474747474747475,0.9875,0.34,0.59375,0.6291846210330253
19,zero,mix_ffn,1106,553,0.6256781193490054,0.7160940325497287,0.8617021276595744,0.225,0.7878787878787878,0.98125,0.39,0.5875,0.6388884859230605
