timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,cross_attn,1106,553,0.6075949367088608,0.6980108499095841,0.9875,0.7828282828282829,0.50625,0.8617021276595744,0.195,0.385,0.6197134017479762
1,mean_over_tokens,cross_attn,1106,553,0.6121157323688969,0.7034358047016275,0.975,0.7929292929292929,0.56875,0.851063829787234,0.195,0.37,0.6254571871194211
2,mean_over_tokens,cross_attn,1106,553,0.5985533453887885,0.6907775768535263,0.9875,0.7626262626262627,0.5125,0.851063829787234,0.2,0.355,0.6114483487355828
3,mean_over_tokens,cross_attn,1106,553,0.6166365280289331,0.7142857142857143,0.98125,0.7828282828282829,0.5625,0.8617021276595744,0.2,0.39,0.6297134017479763
4,mean_over_tokens,cross_attn,1106,553,0.6184448462929476,0.7034358047016275,0.9875,0.7676767676767676,0.56875,0.8776595744680851,0.225,0.365,0.6319310570241421
5,mean_over_tokens,cross_attn,1106,553,0.6256781193490054,0.7088607594936709,0.99375,0.8080808080808081,0.56875,0.8670212765957447,0.21,0.385,0.6387670141127587
6,mean_over_tokens,cross_attn,1106,553,0.6184448462929476,0.705244122965642,0.98125,0.7929292929292929,0.5625,0.8617021276595744,0.22,0.37,0.6313969034314779
7,mean_over_tokens,cross_attn,1106,553,0.6220614828209765,0.7142857142857143,0.9875,0.7828282828282829,0.55625,0.8723404255319149,0.235,0.375,0.6348197847266996
8,mean_over_tokens,cross_attn,1106,553,0.6238698010849909,0.7160940325497287,0.98125,0.7424242424242424,0.5875,0.8670212765957447,0.23,0.415,0.6371992531699978
9,mean_over_tokens,cross_attn,1106,553,0.6157323688969258,0.705244122965642,0.99375,0.7323232323232324,0.575,0.8617021276595744,0.22,0.395,0.6296292266638012
10,mean_over_tokens,cross_attn,1106,553,0.6157323688969258,0.7034358047016275,0.99375,0.7272727272727273,0.58125,0.8776595744680851,0.215,0.385,0.629988716956802
11,mean_over_tokens,cross_attn,1106,553,0.6184448462929476,0.701627486437613,0.99375,0.7323232323232324,0.5625,0.8776595744680851,0.23,0.395,0.6318721344652195
12,mean_over_tokens,cross_attn,1106,553,0.6193490054249547,0.705244122965642,0.9875,0.7424242424242424,0.575,0.8670212765957447,0.23,0.395,0.6328242531699978
13,mean_over_tokens,cross_attn,1106,553,0.6184448462929476,0.7088607594936709,0.98125,0.7323232323232324,0.56875,0.8723404255319149,0.23,0.405,0.6316106096425246
14,mean_over_tokens,cross_attn,1106,553,0.6193490054249547,0.7070524412296564,0.9875,0.7323232323232324,0.58125,0.8776595744680851,0.225,0.395,0.6331221344652196
15,mean_over_tokens,cross_attn,1106,553,0.6184448462929476,0.705244122965642,0.99375,0.7323232323232324,0.58125,0.8776595744680851,0.22,0.39,0.6324971344652196
16,mean_over_tokens,cross_attn,1106,553,0.6220614828209765,0.7142857142857143,0.9875,0.7373737373737373,0.58125,0.8723404255319149,0.225,0.41,0.6355773604842755
17,mean_over_tokens,cross_attn,1106,553,0.6256781193490054,0.7142857142857143,0.9875,0.7424242424242424,0.59375,0.8776595744680851,0.23,0.405,0.6393889694820546
18,mean_over_tokens,cross_attn,1106,553,0.6157323688969258,0.6998191681735986,0.99375,0.7424242424242424,0.56875,0.8776595744680851,0.215,0.38,0.629597302815388
19,mean_over_tokens,cross_attn,1106,553,0.6211573236889693,0.7106690777576854,0.98125,0.7424242424242424,0.575,0.8776595744680851,0.22,0.41,0.6343889694820547
