timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,mix_ffn,1106,553,0.6220614828209765,0.7142857142857143,0.99375,0.7575757575757576,0.5375,0.8617021276595744,0.21,0.445,0.634254647539222
1,mean_over_tokens,mix_ffn,1106,553,0.6184448462929476,0.7142857142857143,0.9875,0.7929292929292929,0.53125,0.8723404255319149,0.22,0.38,0.630669953076868
2,mean_over_tokens,mix_ffn,1106,553,0.6292947558770343,0.7215189873417721,0.9875,0.7878787878787878,0.50625,0.8723404255319149,0.245,0.44,0.6398282022351172
3,mean_over_tokens,mix_ffn,1106,553,0.6193490054249547,0.7124773960216998,0.98125,0.8333333333333334,0.53125,0.8617021276595744,0.23,0.35,0.6312559101654847
4,mean_over_tokens,mix_ffn,1106,553,0.6292947558770343,0.72875226039783,0.98125,0.8232323232323232,0.5375,0.8723404255319149,0.245,0.385,0.640720458127373
5,mean_over_tokens,mix_ffn,1106,553,0.6301989150090416,0.7215189873417721,0.975,0.7878787878787878,0.56875,0.8563829787234043,0.265,0.4,0.642168627767032
6,mean_over_tokens,mix_ffn,1106,553,0.6320072332730561,0.7179023508137432,1.0,0.803030303030303,0.575,0.8882978723404256,0.215,0.39,0.6452213625617881
7,mean_over_tokens,mix_ffn,1106,553,0.6347197106690777,0.7305605786618445,0.9875,0.8131313131313131,0.5875,0.8723404255319149,0.225,0.4,0.647578623110538
8,mean_over_tokens,mix_ffn,1106,553,0.6256781193490054,0.7215189873417721,0.9875,0.7828282828282829,0.55625,0.8670212765957447,0.235,0.4,0.6380999265706713
9,mean_over_tokens,mix_ffn,1106,553,0.6256781193490054,0.7179023508137432,0.9875,0.7626262626262627,0.5625,0.8776595744680851,0.235,0.405,0.6383809728490579
10,mean_over_tokens,mix_ffn,1106,553,0.6220614828209765,0.7070524412296564,0.99375,0.7525252525252525,0.5625,0.8776595744680851,0.235,0.39,0.635239137832223
11,mean_over_tokens,mix_ffn,1106,553,0.620253164556962,0.7124773960216998,0.9875,0.7474747474747475,0.55625,0.8829787234042553,0.23,0.395,0.6332005784798338
12,mean_over_tokens,mix_ffn,1106,553,0.6247739602169982,0.7160940325497287,0.9875,0.7525252525252525,0.575,0.8670212765957447,0.22,0.425,0.6378410881868329
13,mean_over_tokens,mix_ffn,1106,553,0.6211573236889693,0.7160940325497287,0.9875,0.7424242424242424,0.56875,0.8617021276595744,0.23,0.415,0.6342293950139696
14,mean_over_tokens,mix_ffn,1106,553,0.6247739602169982,0.7160940325497287,0.9875,0.7525252525252525,0.58125,0.8776595744680851,0.225,0.405,0.6381558044988895
15,mean_over_tokens,mix_ffn,1106,553,0.6211573236889693,0.7070524412296564,0.9875,0.7525252525252525,0.56875,0.8723404255319149,0.215,0.41,0.6343526130095279
16,mean_over_tokens,mix_ffn,1106,553,0.620253164556962,0.7088607594936709,0.9875,0.7424242424242424,0.56875,0.8617021276595744,0.23,0.41,0.6333960616806362
17,mean_over_tokens,mix_ffn,1106,553,0.6139240506329114,0.701627486437613,0.9875,0.7373737373737373,0.58125,0.8563829787234043,0.23,0.375,0.6279177860161903
18,mean_over_tokens,mix_ffn,1106,553,0.604882459312839,0.6907775768535263,0.99375,0.7272727272727273,0.54375,0.8351063829787234,0.23,0.38,0.6183131850419085
19,mean_over_tokens,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.99375,0.7474747474747475,0.5625,0.8723404255319149,0.235,0.41,0.6368441955011105
