timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_over_tokens,self_attn,1106,553,0.608499095840868,0.6980108499095841,0.9875,0.7474747474747475,0.54375,0.8563829787234043,0.21,0.385,0.6216846210330252
1,mean_over_tokens,self_attn,1106,553,0.6374321880650995,0.7269439421338155,0.9875,0.8080808080808081,0.5625,0.8563829787234043,0.23,0.45,0.6490772978007021
2,mean_over_tokens,self_attn,1106,553,0.6157323688969258,0.7106690777576854,0.98125,0.8080808080808081,0.5,0.8617021276595744,0.23,0.38,0.6268388226233971
3,mean_over_tokens,self_attn,1106,553,0.6220614828209765,0.7142857142857143,0.975,0.7727272727272727,0.575,0.8563829787234043,0.215,0.415,0.6348517085751127
4,mean_over_tokens,self_attn,1106,553,0.620253164556962,0.6943942133815552,0.99375,0.797979797979798,0.5625,0.8670212765957447,0.215,0.365,0.6335418457625904
5,mean_over_tokens,self_attn,1106,553,0.6157323688969258,0.7124773960216998,0.975,0.7727272727272727,0.525,0.8829787234042553,0.22,0.39,0.6276176660219214
6,mean_over_tokens,self_attn,1106,553,0.6329113924050633,0.7179023508137432,0.98125,0.803030303030303,0.55625,0.8723404255319149,0.24,0.415,0.6446451214270362
7,mean_over_tokens,self_attn,1106,553,0.6320072332730561,0.7197106690777577,0.9875,0.7929292929292929,0.58125,0.8617021276595744,0.24,0.405,0.6447302367648113
8,mean_over_tokens,self_attn,1106,553,0.6175406871609403,0.6998191681735986,0.9875,0.7424242424242424,0.59375,0.8670212765957447,0.23,0.37,0.6317825865033312
9,mean_over_tokens,self_attn,1106,553,0.6292947558770343,0.7106690777576854,0.99375,0.7828282828282829,0.59375,0.8670212765957447,0.23,0.39,0.6428915932373379
10,mean_over_tokens,self_attn,1106,553,0.6166365280289331,0.701627486437613,0.99375,0.7373737373737373,0.575,0.8776595744680851,0.225,0.375,0.6306305519736372
11,mean_over_tokens,self_attn,1106,553,0.6184448462929476,0.7034358047016275,0.9875,0.7373737373737373,0.575,0.8829787234042553,0.225,0.385,0.632142076796332
12,mean_over_tokens,self_attn,1106,553,0.620253164556962,0.7106690777576854,0.98125,0.7171717171717171,0.58125,0.8776595744680851,0.23,0.415,0.633721881939967
13,mean_over_tokens,self_attn,1106,553,0.6184448462929476,0.7106690777576854,0.975,0.7323232323232324,0.575,0.8723404255319149,0.235,0.4,0.6316106096425246
14,mean_over_tokens,self_attn,1106,553,0.6175406871609403,0.7088607594936709,0.975,0.7424242424242424,0.575,0.8776595744680851,0.22,0.395,0.6308473028153879
15,mean_over_tokens,self_attn,1106,553,0.6238698010849909,0.7124773960216998,0.9875,0.7474747474747475,0.5875,0.8776595744680851,0.235,0.39,0.6375223869904721
16,mean_over_tokens,self_attn,1106,553,0.620253164556962,0.7070524412296564,0.9875,0.7424242424242424,0.6,0.8776595744680851,0.22,0.38,0.634597302815388
17,mean_over_tokens,self_attn,1106,553,0.6265822784810127,0.7197106690777577,0.9875,0.7474747474747475,0.60625,0.8829787234042553,0.225,0.395,0.6407005784798337
18,mean_over_tokens,self_attn,1106,553,0.6193490054249547,0.7088607594936709,0.9875,0.7424242424242424,0.575,0.8776595744680851,0.225,0.39,0.6329306361487212
19,mean_over_tokens,self_attn,1106,553,0.6247739602169982,0.7142857142857143,0.9875,0.7424242424242424,0.6,0.8776595744680851,0.225,0.4,0.6387639694820546
