timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,cross_attn,1106,553,0.6446654611211573,0.7377938517179023,0.99375,0.8080808080808081,0.5625,0.8936170212765957,0.19,0.49,0.6563246382262339
1,mean_per_token,cross_attn,1106,553,0.6211573236889693,0.7160940325497287,0.99375,0.7727272727272727,0.54375,0.8670212765957447,0.215,0.41,0.6337080915538363
2,mean_per_token,cross_attn,1106,553,0.6211573236889693,0.7269439421338155,0.98125,0.803030303030303,0.5625,0.851063829787234,0.235,0.37,0.6338073554695894
3,mean_per_token,cross_attn,1106,553,0.6175406871609403,0.7197106690777577,0.9875,0.7929292929292929,0.5375,0.8670212765957447,0.23,0.365,0.6299917615875064
4,mean_per_token,cross_attn,1106,553,0.6112115732368897,0.701627486437613,0.975,0.7929292929292929,0.53125,0.8670212765957447,0.205,0.37,0.623533428254173
5,mean_per_token,cross_attn,1106,553,0.6184448462929476,0.7106690777576854,0.98125,0.7676767676767676,0.56875,0.8670212765957447,0.22,0.385,0.6316163407120854
6,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.99375,0.7474747474747475,0.5875,0.8617021276595744,0.225,0.405,0.6367378125223869
7,mean_per_token,cross_attn,1106,553,0.6238698010849909,0.7197106690777577,0.9875,0.7474747474747475,0.6125,0.8670212765957447,0.225,0.39,0.6382493373450822
8,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7142857142857143,0.99375,0.7424242424242424,0.59375,0.8670212765957447,0.245,0.395,0.6394909198366646
9,mean_per_token,cross_attn,1106,553,0.6220614828209765,0.7070524412296564,0.99375,0.7424242424242424,0.58125,0.8723404255319149,0.24,0.385,0.6357941113260263
10,mean_per_token,cross_attn,1106,553,0.6157323688969258,0.7088607594936709,0.99375,0.7222222222222222,0.5625,0.8723404255319149,0.225,0.4,0.6293021079590229
11,mean_per_token,cross_attn,1106,553,0.6247739602169982,0.7106690777576854,0.99375,0.7272727272727273,0.58125,0.8776595744680851,0.235,0.415,0.6383220502901354
12,mean_per_token,cross_attn,1106,553,0.620253164556962,0.7070524412296564,0.9875,0.7373737373737373,0.56875,0.8776595744680851,0.22,0.41,0.6335472186403038
13,mean_per_token,cross_attn,1106,553,0.6157323688969258,0.7034358047016275,0.975,0.7222222222222222,0.56875,0.8776595744680851,0.22,0.41,0.6289386327817179
14,mean_per_token,cross_attn,1106,553,0.6184448462929476,0.7106690777576854,0.98125,0.7373737373737373,0.58125,0.8776595744680851,0.215,0.4,0.6320888853069703
15,mean_per_token,cross_attn,1106,553,0.6238698010849909,0.7106690777576854,0.9875,0.7373737373737373,0.59375,0.8776595744680851,0.22,0.41,0.6377138853069705
16,mean_per_token,cross_attn,1106,553,0.6220614828209765,0.7106690777576854,0.9875,0.7474747474747475,0.56875,0.8776595744680851,0.22,0.41,0.6352307203238056
17,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7179023508137432,0.9875,0.7424242424242424,0.5875,0.8723404255319149,0.23,0.415,0.6391274446593596
18,mean_per_token,cross_attn,1106,553,0.6148282097649186,0.7034358047016275,0.9875,0.7424242424242424,0.5625,0.8723404255319149,0.22,0.385,0.6282941113260262
19,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.9875,0.7575757575757576,0.58125,0.8723404255319149,0.22,0.4,0.6364443638512788
