timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.98125,0.797979797979798,0.55625,0.8829787234042553,0.185,0.415,0.6364097535640089
1,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7215189873417721,0.98125,0.8232323232323232,0.5375,0.8670212765957447,0.24,0.4,0.6415005999713447
2,mean_per_token,mix_ffn,1106,553,0.6193490054249547,0.7070524412296564,0.9875,0.803030303030303,0.50625,0.851063829787234,0.245,0.39,0.6304740221362563
3,mean_per_token,mix_ffn,1106,553,0.6338155515370705,0.7269439421338155,0.9875,0.8080808080808081,0.5625,0.8670212765957447,0.245,0.405,0.6458503474460922
4,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7160940325497287,0.9875,0.797979797979798,0.58125,0.8563829787234043,0.23,0.405,0.6430187961172004
5,mean_per_token,mix_ffn,1106,553,0.6247739602169982,0.7197106690777577,0.975,0.797979797979798,0.575,0.8617021276595744,0.23,0.385,0.6374469876065622
6,mean_per_token,mix_ffn,1106,553,0.6292947558770343,0.7251356238698011,0.9875,0.803030303030303,0.575,0.8617021276595744,0.24,0.385,0.6420387384483129
7,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7142857142857143,0.9875,0.7777777777777778,0.575,0.8670212765957447,0.23,0.395,0.6387165090622537
8,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7179023508137432,0.9875,0.7575757575757576,0.5875,0.8776595744680851,0.24,0.39,0.6400392220073071
9,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7215189873417721,0.9875,0.7474747474747475,0.575,0.8776595744680851,0.235,0.41,0.6387723869904721
10,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7160940325497287,0.9875,0.7525252525252525,0.58125,0.8723404255319149,0.235,0.41,0.6397692796761946
11,mean_per_token,mix_ffn,1106,553,0.6184448462929476,0.7070524412296564,0.9875,0.7373737373737373,0.575,0.8723404255319149,0.23,0.39,0.6320356938176087
12,mean_per_token,mix_ffn,1106,553,0.620253164556962,0.7124773960216998,0.99375,0.7373737373737373,0.58125,0.8670212765957447,0.215,0.41,0.6340658356615804
13,mean_per_token,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.9875,0.7525252525252525,0.5875,0.8617021276595744,0.23,0.405,0.6373712300308044
14,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7179023508137432,0.99375,0.7424242424242424,0.6,0.8617021276595744,0.23,0.41,0.6396460616806362
15,mean_per_token,mix_ffn,1106,553,0.6274864376130199,0.7179023508137432,0.9875,0.7474747474747475,0.5875,0.8723404255319149,0.23,0.42,0.6408025288344438
16,mean_per_token,mix_ffn,1106,553,0.6274864376130199,0.7179023508137432,0.9875,0.7525252525252525,0.58125,0.8882978723404256,0.225,0.41,0.6407621874776129
17,mean_per_token,mix_ffn,1106,553,0.6193490054249547,0.7142857142857143,0.9875,0.7525252525252525,0.575,0.8723404255319149,0.23,0.38,0.6328942796761946
18,mean_per_token,mix_ffn,1106,553,0.608499095840868,0.6980108499095841,0.99375,0.7323232323232324,0.58125,0.8563829787234043,0.23,0.345,0.6231177018411062
19,mean_per_token,mix_ffn,1106,553,0.6184448462929476,0.7106690777576854,0.99375,0.7424242424242424,0.5625,0.8670212765957447,0.235,0.39,0.6317825865033312
