timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7124773960216998,0.98125,0.7929292929292929,0.5625,0.8563829787234043,0.19,0.43,0.6355103786087829
1,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7197106690777577,0.98125,0.797979797979798,0.525,0.8617021276595744,0.225,0.415,0.6343219876065621
2,mean_per_token,self_attn,1106,553,0.6283905967450272,0.7179023508137432,0.9875,0.797979797979798,0.575,0.8617021276595744,0.24,0.385,0.6411969876065621
3,mean_per_token,self_attn,1106,553,0.6301989150090416,0.7142857142857143,0.98125,0.8080808080808081,0.55625,0.8617021276595744,0.25,0.395,0.6420471559567303
4,mean_per_token,self_attn,1106,553,0.6301989150090416,0.7251356238698011,0.98125,0.797979797979798,0.55,0.8563829787234043,0.25,0.415,0.6417687961172004
5,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7179023508137432,0.98125,0.797979797979798,0.525,0.8829787234042553,0.24,0.375,0.6337014202306755
6,mean_per_token,self_attn,1106,553,0.620253164556962,0.7070524412296564,0.99375,0.7727272727272727,0.55,0.8723404255319149,0.225,0.385,0.633136283043198
7,mean_per_token,self_attn,1106,553,0.6292947558770343,0.7197106690777577,0.9875,0.7878787878787878,0.56875,0.8563829787234043,0.24,0.41,0.6417519611003654
8,mean_per_token,self_attn,1106,553,0.6265822784810127,0.7124773960216998,1.0,0.7777777777777778,0.55625,0.8617021276595744,0.24,0.4,0.639288317572892
9,mean_per_token,self_attn,1106,553,0.6338155515370705,0.7269439421338155,0.9875,0.7727272727272727,0.5875,0.8723404255319149,0.24,0.42,0.6466779497098646
10,mean_per_token,self_attn,1106,553,0.6292947558770343,0.7179023508137432,0.99375,0.7676767676767676,0.58125,0.8723404255319149,0.23,0.41,0.6425028655347804
11,mean_per_token,self_attn,1106,553,0.6265822784810127,0.7142857142857143,0.99375,0.7575757575757576,0.58125,0.8776595744680851,0.225,0.405,0.6400392220073071
12,mean_per_token,self_attn,1106,553,0.6211573236889693,0.7106690777576854,0.98125,0.7424242424242424,0.5875,0.8776595744680851,0.225,0.395,0.6348056361487212
13,mean_per_token,self_attn,1106,553,0.6274864376130199,0.7160940325497287,0.975,0.7575757575757576,0.60625,0.8723404255319149,0.23,0.405,0.641027697184612
14,mean_per_token,self_attn,1106,553,0.6211573236889693,0.7106690777576854,0.975,0.7424242424242424,0.5875,0.8776595744680851,0.225,0.4,0.6345973028153878
15,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7142857142857143,0.98125,0.7474747474747475,0.575,0.8776595744680851,0.225,0.405,0.6352307203238055
16,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7142857142857143,0.98125,0.7424242424242424,0.59375,0.8723404255319149,0.225,0.405,0.6366274446593595
17,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7142857142857143,0.975,0.7474747474747475,0.5875,0.8776595744680851,0.225,0.405,0.6362723869904721
18,mean_per_token,self_attn,1106,553,0.6184448462929476,0.7088607594936709,0.98125,0.7373737373737373,0.58125,0.8670212765957447,0.23,0.395,0.6319825023282469
19,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7106690777576854,0.9875,0.7474747474747475,0.5875,0.8776595744680851,0.225,0.39,0.6358557203238054
