timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,zero,cross_attn,1106,553,0.6428571428571429,0.7341772151898734,1.0,0.7878787878787878,0.55625,0.8936170212765957,0.19,0.5,0.6546243015258973
1,zero,cross_attn,1106,553,0.6329113924050633,0.7251356238698011,0.9875,0.7878787878787878,0.575,0.8617021276595744,0.205,0.455,0.6453468192563938
2,zero,cross_attn,1106,553,0.6103074141048824,0.705244122965642,0.9875,0.7727272727272727,0.49375,0.8563829787234043,0.235,0.385,0.6217267085751129
3,zero,cross_attn,1106,553,0.620253164556962,0.7197106690777577,0.9875,0.8131313131313131,0.50625,0.8723404255319149,0.23,0.38,0.6315369564438713
4,zero,cross_attn,1106,553,0.6112115732368897,0.7034358047016275,0.98125,0.7828282828282829,0.53125,0.8723404255319149,0.205,0.37,0.623778118060033
5,zero,cross_attn,1106,553,0.6238698010849909,0.7142857142857143,0.99375,0.7777777777777778,0.575,0.8723404255319149,0.225,0.38,0.6373113672182821
6,zero,cross_attn,1106,553,0.6311030741410488,0.7233273056057866,0.9875,0.7676767676767676,0.5875,0.8882978723404256,0.245,0.39,0.6443291066695321
7,zero,cross_attn,1106,553,0.6274864376130199,0.7233273056057866,1.0,0.7525252525252525,0.58125,0.8670212765957447,0.24,0.405,0.640966088186833
8,zero,cross_attn,1106,553,0.6229656419529838,0.7106690777576854,0.99375,0.7323232323232324,0.575,0.8829787234042553,0.235,0.4,0.6365086592879146
9,zero,cross_attn,1106,553,0.6292947558770343,0.7215189873417721,0.99375,0.7575757575757576,0.59375,0.8776595744680851,0.24,0.395,0.6429558886739738
10,zero,cross_attn,1106,553,0.6193490054249547,0.7124773960216998,0.9875,0.7373737373737373,0.56875,0.8776595744680851,0.235,0.39,0.6327138853069704
11,zero,cross_attn,1106,553,0.6193490054249547,0.7070524412296564,0.9875,0.7424242424242424,0.56875,0.8776595744680851,0.22,0.4,0.632722302815388
12,zero,cross_attn,1106,553,0.6175406871609403,0.7070524412296564,0.9875,0.7323232323232324,0.56875,0.8776595744680851,0.23,0.39,0.6310388011318863
13,zero,cross_attn,1106,553,0.6238698010849909,0.7179023508137432,0.98125,0.7272727272727273,0.59375,0.8776595744680851,0.225,0.42,0.6374887169568021
14,zero,cross_attn,1106,553,0.6184448462929476,0.7034358047016275,0.98125,0.7323232323232324,0.58125,0.8776595744680851,0.22,0.4,0.632080467798553
15,zero,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.9875,0.7373737373737373,0.58125,0.8829787234042553,0.215,0.415,0.6365170767963321
16,zero,cross_attn,1106,553,0.6211573236889693,0.7142857142857143,0.98125,0.7474747474747475,0.56875,0.8776595744680851,0.225,0.405,0.6341890536571388
17,zero,cross_attn,1106,553,0.620253164556962,0.7142857142857143,0.98125,0.7373737373737373,0.56875,0.8829787234042553,0.225,0.405,0.6333920767963321
18,zero,cross_attn,1106,553,0.6184448462929476,0.7106690777576854,0.98125,0.7424242424242424,0.56875,0.8723404255319149,0.225,0.4,0.6316274446593596
19,zero,cross_attn,1106,553,0.6265822784810127,0.7142857142857143,0.98125,0.7474747474747475,0.5875,0.8776595744680851,0.23,0.415,0.6398140536571387
