timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,zero,mix_ffn,1106,553,0.6166365280289331,0.7179023508137432,0.9875,0.7777777777777778,0.525,0.8563829787234043,0.225,0.4,0.6286101260835304
1,zero,mix_ffn,1106,553,0.6329113924050633,0.7305605786618445,0.9875,0.8131313131313131,0.53125,0.8563829787234043,0.245,0.43,0.6438773819757863
2,zero,mix_ffn,1106,553,0.6220614828209765,0.7233273056057866,0.98125,0.7929292929292929,0.525,0.8723404255319149,0.23,0.4,0.6335866197435346
3,zero,mix_ffn,1106,553,0.6283905967450272,0.7233273056057866,0.99375,0.8232323232323232,0.525,0.8723404255319149,0.235,0.39,0.6398871247940398
4,zero,mix_ffn,1106,553,0.6247739602169982,0.7088607594936709,0.98125,0.797979797979798,0.5625,0.8563829787234043,0.255,0.37,0.637185462783867
5,zero,mix_ffn,1106,553,0.6320072332730561,0.7233273056057866,0.975,0.797979797979798,0.5875,0.8617021276595744,0.235,0.41,0.6445303209398954
6,zero,mix_ffn,1106,553,0.6247739602169982,0.7106690777576854,0.99375,0.803030303030303,0.575,0.8617021276595744,0.215,0.38,0.6380804051149797
7,zero,mix_ffn,1106,553,0.6220614828209765,0.7179023508137432,0.99375,0.7929292929292929,0.575,0.8670212765957447,0.22,0.365,0.6356167615875062
8,zero,mix_ffn,1106,553,0.6247739602169982,0.7233273056057866,0.9875,0.7727272727272727,0.58125,0.8670212765957447,0.23,0.39,0.6380830915538364
9,zero,mix_ffn,1106,553,0.6211573236889693,0.7142857142857143,0.9875,0.7727272727272727,0.56875,0.8776595744680851,0.225,0.375,0.6344394745325597
10,zero,mix_ffn,1106,553,0.6166365280289331,0.705244122965642,0.9875,0.7373737373737373,0.56875,0.8670212765957447,0.225,0.395,0.6301075023282471
11,zero,mix_ffn,1106,553,0.6175406871609403,0.6998191681735986,0.9875,0.7525252525252525,0.56875,0.8776595744680851,0.22,0.38,0.6310724711655563
12,zero,mix_ffn,1106,553,0.6211573236889693,0.7124773960216998,0.9875,0.7424242424242424,0.5875,0.8723404255319149,0.215,0.405,0.6349607779926929
13,zero,mix_ffn,1106,553,0.6193490054249547,0.7106690777576854,0.9875,0.7525252525252525,0.58125,0.8670212765957447,0.225,0.385,0.6330494215201662
14,zero,mix_ffn,1106,553,0.6157323688969258,0.701627486437613,0.9875,0.7626262626262627,0.575,0.8670212765957447,0.22,0.365,0.6295245898703347
15,zero,mix_ffn,1106,553,0.6184448462929476,0.705244122965642,0.9875,0.7575757575757576,0.5875,0.8670212765957447,0.225,0.37,0.6324328390285837
16,zero,mix_ffn,1106,553,0.6175406871609403,0.7034358047016275,0.9875,0.7525252525252525,0.5875,0.8617021276595744,0.22,0.38,0.6315378966974711
17,zero,mix_ffn,1106,553,0.6112115732368897,0.6980108499095841,0.9875,0.7525252525252525,0.55625,0.8617021276595744,0.23,0.36,0.6246628966974711
18,zero,mix_ffn,1106,553,0.6030741410488246,0.6871609403254972,0.99375,0.7424242424242424,0.5375,0.8457446808510638,0.24,0.34,0.6165698205458844
19,zero,mix_ffn,1106,553,0.6148282097649186,0.701627486437613,0.99375,0.7474747474747475,0.55625,0.8670212765957447,0.225,0.38,0.628249337345082
