timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,zero,self_attn,1106,553,0.6410488245931284,0.7323688969258589,0.9875,0.797979797979798,0.56875,0.8936170212765957,0.215,0.455,0.6529744698760656
1,zero,self_attn,1106,553,0.635623869801085,0.7233273056057866,0.99375,0.8333333333333334,0.55625,0.8563829787234043,0.22,0.425,0.6474527186761229
2,zero,self_attn,1106,553,0.6311030741410488,0.7179023508137432,0.9875,0.7828282828282829,0.55625,0.8776595744680851,0.25,0.405,0.6432063095493947
3,zero,self_attn,1106,553,0.6292947558770343,0.7142857142857143,0.9875,0.7929292929292929,0.5375,0.8617021276595744,0.225,0.44,0.6407719034314779
4,zero,self_attn,1106,553,0.6374321880650995,0.7269439421338155,0.9875,0.8181818181818182,0.59375,0.8670212765957447,0.215,0.42,0.6502421824629271
5,zero,self_attn,1106,553,0.6383363471971067,0.7305605786618445,0.98125,0.797979797979798,0.56875,0.8723404255319149,0.245,0.435,0.6500533705852855
6,zero,self_attn,1106,553,0.6374321880650995,0.7323688969258589,0.98125,0.803030303030303,0.55,0.851063829787234,0.235,0.47,0.6483906888029227
7,zero,self_attn,1106,553,0.6292947558770343,0.7215189873417721,0.9875,0.7727272727272727,0.55625,0.8670212765957447,0.23,0.435,0.6414164248871695
8,zero,self_attn,1106,553,0.6229656419529838,0.7215189873417721,0.9875,0.7373737373737373,0.55,0.8617021276595744,0.23,0.445,0.6352626441722187
9,zero,self_attn,1106,553,0.6220614828209765,0.7124773960216998,0.9875,0.7575757575757576,0.5375,0.8723404255319149,0.21,0.44,0.6341526971846121
10,zero,self_attn,1106,553,0.6139240506329114,0.6980108499095841,0.9875,0.7474747474747475,0.5375,0.8723404255319149,0.22,0.395,0.6266358621677771
11,zero,self_attn,1106,553,0.6256781193490054,0.7233273056057866,0.9875,0.7525252525252525,0.575,0.8723404255319149,0.21,0.435,0.638727613009528
12,zero,self_attn,1106,553,0.6265822784810127,0.7233273056057866,0.9875,0.7525252525252525,0.58125,0.851063829787234,0.235,0.43,0.6395565137187477
13,zero,self_attn,1106,553,0.6247739602169982,0.7215189873417721,0.9875,0.7575757575757576,0.575,0.8617021276595744,0.235,0.41,0.6377963142058888
14,zero,self_attn,1106,553,0.6274864376130199,0.7197106690777577,0.9875,0.7727272727272727,0.58125,0.8563829787234043,0.22,0.425,0.640476708575113
15,zero,self_attn,1106,553,0.6256781193490054,0.7197106690777577,0.9875,0.7626262626262627,0.6,0.851063829787234,0.22,0.415,0.6393650154022495
16,zero,self_attn,1106,553,0.6211573236889693,0.7142857142857143,0.9875,0.7575757575757576,0.575,0.8457446808510638,0.22,0.42,0.6343034064044702
17,zero,self_attn,1106,553,0.6157323688969258,0.7088607594936709,0.9875,0.7474747474747475,0.58125,0.8351063829787234,0.225,0.4,0.6293885217422452
18,zero,self_attn,1106,553,0.5958408679927667,0.6925858951175407,0.9875,0.7070707070707071,0.55,0.8191489361702128,0.235,0.36,0.60978660720682
19,zero,self_attn,1106,553,0.596745027124774,0.6889692585895117,0.9875,0.7424242424242424,0.575,0.7712765957446809,0.235,0.355,0.6110334730281538
