layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_single_object_score,task_two_object_score,task_counting_score,task_colors_score,task_position_score,task_color_attr_score,overall_score
0,mean_per_token,mix_ffn,1106,553,0.5877034358047016,0.6672694394213382,0.9875,0.6919191919191919,0.49375,0.8723404255319149,0.19,0.37,0.6009182695751845
1,mean_per_token,mix_ffn,1106,553,0.6030741410488246,0.6925858951175407,0.9875,0.7171717171717171,0.56875,0.851063829787234,0.215,0.365,0.6174142578264918
2,mean_per_token,mix_ffn,1106,553,0.6247739602169982,0.7124773960216998,0.9875,0.7474747474747475,0.60625,0.8723404255319149,0.195,0.425,0.6389275288344437
3,mean_per_token,mix_ffn,1106,553,0.6148282097649186,0.7124773960216998,0.99375,0.7676767676767676,0.575,0.8563829787234043,0.21,0.37,0.6288016244000287
4,mean_per_token,mix_ffn,1106,553,0.6211573236889693,0.7233273056057866,0.975,0.8232323232323232,0.53125,0.8351063829787234,0.24,0.39,0.6324314510351744
5,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7323688969258589,0.9875,0.7676767676767676,0.55625,0.8723404255319149,0.235,0.435,0.642294532201447
6,mean_per_token,mix_ffn,1106,553,0.6130198915009042,0.7088607594936709,0.9875,0.7626262626262627,0.53125,0.851063829787234,0.22,0.4,0.6254066820689161
7,mean_per_token,mix_ffn,1106,553,0.6039783001808319,0.6925858951175407,0.9875,0.7777777777777778,0.51875,0.8457446808510638,0.2,0.37,0.6166287431048071
8,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7233273056057866,0.98125,0.8080808080808081,0.55,0.8829787234042553,0.22,0.39,0.6387182552475106
9,mean_per_token,mix_ffn,1106,553,0.608499095840868,0.6962025316455697,0.9875,0.803030303030303,0.5,0.8404255319148937,0.22,0.37,0.6201593058241995
10,mean_per_token,mix_ffn,1106,553,0.6311030741410488,0.7215189873417721,0.975,0.7878787878787878,0.54375,0.8882978723404256,0.215,0.445,0.6424877767032021
11,mean_per_token,mix_ffn,1106,553,0.6419529837251357,0.7251356238698011,0.98125,0.8080808080808081,0.5625,0.8723404255319149,0.25,0.445,0.6531952056021205
12,mean_per_token,mix_ffn,1106,553,0.6347197106690777,0.7142857142857143,0.9875,0.8181818181818182,0.6,0.8617021276595744,0.235,0.385,0.6478973243068987
13,mean_per_token,mix_ffn,1106,553,0.6229656419529838,0.7106690777576854,0.975,0.7777777777777778,0.58125,0.8617021276595744,0.22,0.4,0.6359549842395588
14,mean_per_token,mix_ffn,1106,553,0.635623869801085,0.7269439421338155,0.9875,0.797979797979798,0.6,0.8723404255319149,0.245,0.39,0.6488033705852855
15,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7142857142857143,0.975,0.7777777777777778,0.58125,0.8723404255319149,0.215,0.415,0.6393947005516155
16,mean_per_token,mix_ffn,1106,553,0.6320072332730561,0.7197106690777577,0.9875,0.7828282828282829,0.6125,0.8617021276595744,0.21,0.42,0.6457550684146428
17,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7215189873417721,0.99375,0.7929292929292929,0.575,0.8670212765957447,0.22,0.41,0.6431167615875063
18,mean_per_token,mix_ffn,1106,553,0.6365280289330922,0.7233273056057866,0.9875,0.8333333333333334,0.5625,0.8457446808510638,0.235,0.425,0.6481796690307328
19,mean_per_token,mix_ffn,1106,553,0.6283905967450272,0.7197106690777577,0.9875,0.8131313131313131,0.58125,0.8457446808510638,0.215,0.405,0.6412709989970629
