layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_colors_score,task_position_score,task_two_object_score,task_single_object_score,task_color_attr_score,task_counting_score,overall_score
0,zero,cross_attn,1106,553,0.6112115732368897,0.7124773960216998,0.8936170212765957,0.2,0.6818181818181818,0.99375,0.39,0.6,0.6265308671824629
1,zero,cross_attn,1106,553,0.6392405063291139,0.72875226039783,0.8723404255319149,0.23,0.7777777777777778,0.9875,0.45,0.59375,0.6518947005516155
2,zero,cross_attn,1106,553,0.6157323688969258,0.7179023508137432,0.8723404255319149,0.195,0.7777777777777778,0.99375,0.385,0.55,0.6289780338849488
3,zero,cross_attn,1106,553,0.5705244122965641,0.6763110307414105,0.8617021276595744,0.16,0.6919191919191919,1.0,0.33,0.4625,0.5843535532631278
4,zero,cross_attn,1106,553,0.5786618444846293,0.674502712477396,0.8297872340425532,0.215,0.702020202020202,0.98125,0.315,0.5125,0.5925929060104592
5,zero,cross_attn,1106,553,0.5470162748643761,0.6455696202531646,0.8351063829787234,0.165,0.6111111111111112,0.98125,0.27,0.51875,0.5635362490149723
6,zero,cross_attn,1106,553,0.6220614828209765,0.7142857142857143,0.8829787234042553,0.24,0.7626262626262627,1.0,0.365,0.5625,0.6355174976717529
7,zero,cross_attn,1106,553,0.6003616636528029,0.6835443037974683,0.9042553191489362,0.215,0.7323232323232324,0.96875,0.345,0.5125,0.6129714252453615
8,zero,cross_attn,1106,553,0.6166365280289331,0.7160940325497287,0.8776595744680851,0.235,0.7878787878787878,0.9875,0.36,0.525,0.6288397270578121
9,zero,cross_attn,1106,553,0.6320072332730561,0.7305605786618445,0.8936170212765957,0.225,0.7777777777777778,0.99375,0.415,0.5625,0.6446074665090623
10,zero,cross_attn,1106,553,0.6274864376130199,0.7179023508137432,0.8936170212765957,0.23,0.7626262626262627,0.9875,0.39,0.58125,0.6408322139838099
11,zero,cross_attn,1106,553,0.6220614828209765,0.7179023508137432,0.851063829787234,0.23,0.7828282828282829,0.9875,0.39,0.56875,0.6350236854359196
12,zero,cross_attn,1106,553,0.6166365280289331,0.7124773960216998,0.8723404255319149,0.225,0.7474747474747475,0.98125,0.4,0.55,0.6293441955011104
13,zero,cross_attn,1106,553,0.6256781193490054,0.7142857142857143,0.8670212765957447,0.24,0.7676767676767676,0.975,0.425,0.55,0.6374496740454187
14,zero,cross_attn,1106,553,0.620253164556962,0.7160940325497287,0.8829787234042553,0.225,0.7474747474747475,0.98125,0.38,0.5875,0.634033911813167
15,zero,cross_attn,1106,553,0.6247739602169982,0.7088607594936709,0.8617021276595744,0.225,0.7676767676767676,0.98125,0.405,0.5875,0.638021482556057
16,zero,cross_attn,1106,553,0.6256781193490054,0.7124773960216998,0.8776595744680851,0.22,0.7474747474747475,0.9875,0.425,0.575,0.6387723869904721
17,zero,cross_attn,1106,553,0.6220614828209765,0.7088607594936709,0.8776595744680851,0.22,0.7474747474747475,0.9875,0.405,0.575,0.6354390536571389
18,zero,cross_attn,1106,553,0.6175406871609403,0.705244122965642,0.8670212765957447,0.225,0.7373737373737373,0.98125,0.405,0.56875,0.630732502328247
19,zero,cross_attn,1106,553,0.6247739602169982,0.7197106690777577,0.8617021276595744,0.25,0.7424242424242424,0.9875,0.395,0.59375,0.6383960616806361
