layer,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_colors_score,task_position_score,task_two_object_score,task_single_object_score,task_color_attr_score,task_counting_score,overall_score
0,zero,self_attn,1106,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,zero,self_attn,1106,553,0.6220614828209765,0.7034358047016275,0.8670212765957447,0.195,0.7878787878787878,0.99375,0.39,0.58125,0.6358166774124222
2,zero,self_attn,1106,553,0.5858951175406871,0.6817359855334539,0.8563829787234043,0.19,0.702020202020202,0.99375,0.325,0.5375,0.6007755301239345
3,zero,self_attn,1106,553,0.5858951175406871,0.6998191681735986,0.8457446808510638,0.195,0.702020202020202,0.9875,0.355,0.5125,0.5996274804785443
4,zero,self_attn,1106,553,0.6094032549728752,0.7142857142857143,0.8776595744680851,0.21,0.7171717171717171,0.9875,0.405,0.5375,0.622471881939967
5,zero,self_attn,1106,553,0.608499095840868,0.701627486437613,0.8563829787234043,0.195,0.7323232323232324,0.98125,0.4,0.56875,0.6222843685077728
6,zero,self_attn,1106,553,0.6148282097649186,0.6943942133815552,0.8670212765957447,0.19,0.7727272727272727,0.99375,0.38,0.56875,0.6287080915538362
7,zero,self_attn,1106,553,0.6247739602169982,0.7179023508137432,0.8776595744680851,0.21,0.7929292929292929,0.9875,0.39,0.56875,0.637806477899563
8,zero,self_attn,1106,553,0.6193490054249547,0.7088607594936709,0.8670212765957447,0.205,0.7777777777777778,0.9875,0.42,0.53125,0.631424842395587
9,zero,self_attn,1106,553,0.6094032549728752,0.6998191681735986,0.8617021276595744,0.26,0.7373737373737373,0.98125,0.35,0.54375,0.6223459775055519
10,zero,self_attn,1106,553,0.6229656419529838,0.7106690777576854,0.8829787234042553,0.205,0.7828282828282829,0.98125,0.395,0.56875,0.6359678343720897
11,zero,self_attn,1106,553,0.620253164556962,0.7106690777576854,0.8670212765957447,0.23,0.7626262626262627,0.9875,0.405,0.54375,0.6326495898703346
12,zero,self_attn,1106,553,0.620253164556962,0.7088607594936709,0.8723404255319149,0.23,0.7828282828282829,0.99375,0.38,0.5375,0.6327364513933663
13,zero,self_attn,1106,553,0.6311030741410488,0.7323688969258589,0.8776595744680851,0.225,0.7777777777777778,0.99375,0.395,0.6,0.6448645587076438
14,zero,self_attn,1106,553,0.6247739602169982,0.7197106690777577,0.8617021276595744,0.225,0.7777777777777778,0.9875,0.42,0.55,0.6369966509062254
15,zero,self_attn,1106,553,0.6211573236889693,0.7070524412296564,0.8776595744680851,0.23,0.7828282828282829,0.98125,0.38,0.55,0.6336229762160612
16,zero,self_attn,1106,553,0.6274864376130199,0.7251356238698011,0.8617021276595744,0.235,0.7828282828282829,0.9875,0.415,0.55625,0.6397134017479763
17,zero,self_attn,1106,553,0.6220614828209765,0.7124773960216998,0.8617021276595744,0.205,0.7676767676767676,0.9875,0.415,0.575,0.6353131492227236
18,zero,self_attn,1106,553,0.620253164556962,0.7142857142857143,0.8723404255319149,0.2,0.7878787878787878,0.99375,0.39,0.55625,0.6333698689017838
19,zero,self_attn,1106,553,0.5904159132007233,0.6871609403254972,0.8404255319148937,0.225,0.7070707070707071,0.9875,0.345,0.51875,0.6039577064976002
