iteration_index,actual_timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_position_score,task_counting_score,task_colors_score,task_single_object_score,task_color_attr_score,task_two_object_score,overall_score
0,999,mean_per_token,cross_attn,1106,553,0.6446654611211573,0.7377938517179023,0.19,0.5625,0.8936170212765957,0.99375,0.49,0.8080808080808081,0.6563246382262339
1,982,mean_per_token,cross_attn,1106,553,0.6211573236889693,0.7160940325497287,0.215,0.54375,0.8670212765957447,0.99375,0.41,0.7727272727272727,0.6337080915538363
2,963,mean_per_token,cross_attn,1106,553,0.6211573236889693,0.7269439421338155,0.235,0.5625,0.851063829787234,0.98125,0.37,0.803030303030303,0.6338073554695894
3,944,mean_per_token,cross_attn,1106,553,0.6175406871609403,0.7197106690777577,0.23,0.5375,0.8670212765957447,0.9875,0.365,0.7929292929292929,0.6299917615875062
4,922,mean_per_token,cross_attn,1106,553,0.6112115732368897,0.701627486437613,0.205,0.53125,0.8670212765957447,0.975,0.37,0.7929292929292929,0.6235334282541729
5,899,mean_per_token,cross_attn,1106,553,0.6184448462929476,0.7106690777576854,0.22,0.56875,0.8670212765957447,0.98125,0.385,0.7676767676767676,0.6316163407120853
6,874,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.225,0.5875,0.8617021276595744,0.99375,0.405,0.7474747474747475,0.6367378125223869
7,847,mean_per_token,cross_attn,1106,553,0.6238698010849909,0.7197106690777577,0.225,0.6125,0.8670212765957447,0.9875,0.39,0.7474747474747475,0.638249337345082
8,817,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7142857142857143,0.245,0.59375,0.8670212765957447,0.99375,0.395,0.7424242424242424,0.6394909198366645
9,785,mean_per_token,cross_attn,1106,553,0.6220614828209765,0.7070524412296564,0.24,0.58125,0.8723404255319149,0.99375,0.385,0.7424242424242424,0.6357941113260263
10,749,mean_per_token,cross_attn,1106,553,0.6157323688969258,0.7088607594936709,0.225,0.5625,0.8723404255319149,0.99375,0.4,0.7222222222222222,0.6293021079590229
11,710,mean_per_token,cross_attn,1106,553,0.6247739602169982,0.7106690777576854,0.235,0.58125,0.8776595744680851,0.99375,0.415,0.7272727272727273,0.6383220502901353
12,666,mean_per_token,cross_attn,1106,553,0.620253164556962,0.7070524412296564,0.22,0.56875,0.8776595744680851,0.9875,0.41,0.7373737373737373,0.6335472186403038
13,617,mean_per_token,cross_attn,1106,553,0.6157323688969258,0.7034358047016275,0.22,0.56875,0.8776595744680851,0.975,0.41,0.7222222222222222,0.6289386327817179
14,562,mean_per_token,cross_attn,1106,553,0.6184448462929476,0.7106690777576854,0.215,0.58125,0.8776595744680851,0.98125,0.4,0.7373737373737373,0.6320888853069704
15,499,mean_per_token,cross_attn,1106,553,0.6238698010849909,0.7106690777576854,0.22,0.59375,0.8776595744680851,0.9875,0.41,0.7373737373737373,0.6377138853069705
16,428,mean_per_token,cross_attn,1106,553,0.6220614828209765,0.7106690777576854,0.22,0.56875,0.8776595744680851,0.9875,0.41,0.7474747474747475,0.6352307203238055
17,345,mean_per_token,cross_attn,1106,553,0.6256781193490054,0.7179023508137432,0.23,0.5875,0.8723404255319149,0.9875,0.415,0.7424242424242424,0.6391274446593594
18,249,mean_per_token,cross_attn,1106,553,0.6148282097649186,0.7034358047016275,0.22,0.5625,0.8723404255319149,0.9875,0.385,0.7424242424242424,0.6282941113260262
19,136,mean_per_token,cross_attn,1106,553,0.6229656419529838,0.7124773960216998,0.22,0.58125,0.8723404255319149,0.9875,0.4,0.7575757575757576,0.6364443638512788
