iteration_index,actual_timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_position_score,task_counting_score,task_colors_score,task_single_object_score,task_color_attr_score,task_two_object_score,overall_score
0,999,mean_per_token,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.185,0.55625,0.8829787234042553,0.98125,0.415,0.797979797979798,0.6364097535640089
1,982,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7215189873417721,0.24,0.5375,0.8670212765957447,0.98125,0.4,0.8232323232323232,0.6415005999713447
2,963,mean_per_token,mix_ffn,1106,553,0.6193490054249547,0.7070524412296564,0.245,0.50625,0.851063829787234,0.9875,0.39,0.803030303030303,0.6304740221362563
3,944,mean_per_token,mix_ffn,1106,553,0.6338155515370705,0.7269439421338155,0.245,0.5625,0.8670212765957447,0.9875,0.405,0.8080808080808081,0.6458503474460922
4,922,mean_per_token,mix_ffn,1106,553,0.6301989150090416,0.7160940325497287,0.23,0.58125,0.8563829787234043,0.9875,0.405,0.797979797979798,0.6430187961172005
5,899,mean_per_token,mix_ffn,1106,553,0.6247739602169982,0.7197106690777577,0.23,0.575,0.8617021276595744,0.975,0.385,0.797979797979798,0.6374469876065622
6,874,mean_per_token,mix_ffn,1106,553,0.6292947558770343,0.7251356238698011,0.24,0.575,0.8617021276595744,0.9875,0.385,0.803030303030303,0.6420387384483129
7,847,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7142857142857143,0.23,0.575,0.8670212765957447,0.9875,0.395,0.7777777777777778,0.6387165090622536
8,817,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7179023508137432,0.24,0.5875,0.8776595744680851,0.9875,0.39,0.7575757575757576,0.6400392220073071
9,785,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7215189873417721,0.235,0.575,0.8776595744680851,0.9875,0.41,0.7474747474747475,0.6387723869904721
10,749,mean_per_token,mix_ffn,1106,553,0.6265822784810127,0.7160940325497287,0.235,0.58125,0.8723404255319149,0.9875,0.41,0.7525252525252525,0.6397692796761946
11,710,mean_per_token,mix_ffn,1106,553,0.6184448462929476,0.7070524412296564,0.23,0.575,0.8723404255319149,0.9875,0.39,0.7373737373737373,0.6320356938176087
12,666,mean_per_token,mix_ffn,1106,553,0.620253164556962,0.7124773960216998,0.215,0.58125,0.8670212765957447,0.99375,0.41,0.7373737373737373,0.6340658356615804
13,617,mean_per_token,mix_ffn,1106,553,0.6238698010849909,0.7160940325497287,0.23,0.5875,0.8617021276595744,0.9875,0.405,0.7525252525252525,0.6373712300308045
14,562,mean_per_token,mix_ffn,1106,553,0.6256781193490054,0.7179023508137432,0.23,0.6,0.8617021276595744,0.99375,0.41,0.7424242424242424,0.6396460616806361
15,499,mean_per_token,mix_ffn,1106,553,0.6274864376130199,0.7179023508137432,0.23,0.5875,0.8723404255319149,0.9875,0.42,0.7474747474747475,0.6408025288344437
16,428,mean_per_token,mix_ffn,1106,553,0.6274864376130199,0.7179023508137432,0.225,0.58125,0.8882978723404256,0.9875,0.41,0.7525252525252525,0.640762187477613
17,345,mean_per_token,mix_ffn,1106,553,0.6193490054249547,0.7142857142857143,0.23,0.575,0.8723404255319149,0.9875,0.38,0.7525252525252525,0.6328942796761946
18,249,mean_per_token,mix_ffn,1106,553,0.608499095840868,0.6980108499095841,0.23,0.58125,0.8563829787234043,0.99375,0.345,0.7323232323232324,0.623117701841106
19,136,mean_per_token,mix_ffn,1106,553,0.6184448462929476,0.7106690777576854,0.235,0.5625,0.8670212765957447,0.99375,0.39,0.7424242424242424,0.6317825865033312
