iteration_index,actual_timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_position_score,task_counting_score,task_colors_score,task_single_object_score,task_color_attr_score,task_two_object_score,overall_score
0,999,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7124773960216998,0.19,0.5625,0.8563829787234043,0.98125,0.43,0.7929292929292929,0.6355103786087829
1,982,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7197106690777577,0.225,0.525,0.8617021276595744,0.98125,0.415,0.797979797979798,0.6343219876065621
2,963,mean_per_token,self_attn,1106,553,0.6283905967450272,0.7179023508137432,0.24,0.575,0.8617021276595744,0.9875,0.385,0.797979797979798,0.6411969876065621
3,944,mean_per_token,self_attn,1106,553,0.6301989150090416,0.7142857142857143,0.25,0.55625,0.8617021276595744,0.98125,0.395,0.8080808080808081,0.6420471559567303
4,922,mean_per_token,self_attn,1106,553,0.6301989150090416,0.7251356238698011,0.25,0.55,0.8563829787234043,0.98125,0.415,0.797979797979798,0.6417687961172004
5,899,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7179023508137432,0.24,0.525,0.8829787234042553,0.98125,0.375,0.797979797979798,0.6337014202306755
6,874,mean_per_token,self_attn,1106,553,0.620253164556962,0.7070524412296564,0.225,0.55,0.8723404255319149,0.99375,0.385,0.7727272727272727,0.6331362830431978
7,847,mean_per_token,self_attn,1106,553,0.6292947558770343,0.7197106690777577,0.24,0.56875,0.8563829787234043,0.9875,0.41,0.7878787878787878,0.6417519611003654
8,817,mean_per_token,self_attn,1106,553,0.6265822784810127,0.7124773960216998,0.24,0.55625,0.8617021276595744,1.0,0.4,0.7777777777777778,0.639288317572892
9,785,mean_per_token,self_attn,1106,553,0.6338155515370705,0.7269439421338155,0.24,0.5875,0.8723404255319149,0.9875,0.42,0.7727272727272727,0.6466779497098646
10,749,mean_per_token,self_attn,1106,553,0.6292947558770343,0.7179023508137432,0.23,0.58125,0.8723404255319149,0.99375,0.41,0.7676767676767676,0.6425028655347805
11,710,mean_per_token,self_attn,1106,553,0.6265822784810127,0.7142857142857143,0.225,0.58125,0.8776595744680851,0.99375,0.405,0.7575757575757576,0.6400392220073071
12,666,mean_per_token,self_attn,1106,553,0.6211573236889693,0.7106690777576854,0.225,0.5875,0.8776595744680851,0.98125,0.395,0.7424242424242424,0.6348056361487213
13,617,mean_per_token,self_attn,1106,553,0.6274864376130199,0.7160940325497287,0.23,0.60625,0.8723404255319149,0.975,0.405,0.7575757575757576,0.641027697184612
14,562,mean_per_token,self_attn,1106,553,0.6211573236889693,0.7106690777576854,0.225,0.5875,0.8776595744680851,0.975,0.4,0.7424242424242424,0.6345973028153878
15,499,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7142857142857143,0.225,0.575,0.8776595744680851,0.98125,0.405,0.7474747474747475,0.6352307203238055
16,428,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7142857142857143,0.225,0.59375,0.8723404255319149,0.98125,0.405,0.7424242424242424,0.6366274446593595
17,345,mean_per_token,self_attn,1106,553,0.6229656419529838,0.7142857142857143,0.225,0.5875,0.8776595744680851,0.975,0.405,0.7474747474747475,0.6362723869904721
18,249,mean_per_token,self_attn,1106,553,0.6184448462929476,0.7088607594936709,0.23,0.58125,0.8670212765957447,0.98125,0.395,0.7373737373737373,0.6319825023282469
19,136,mean_per_token,self_attn,1106,553,0.6220614828209765,0.7106690777576854,0.225,0.5875,0.8776595744680851,0.9875,0.39,0.7474747474747475,0.6358557203238054
