iteration_index,actual_timestep,ablation_type,ablation_component,total_images,total_prompts,correct_images_pct,correct_prompts_pct,task_colors_score,task_position_score,task_two_object_score,task_single_object_score,task_color_attr_score,task_counting_score,overall_score
0,999,zero,mix_ffn,1106,553,0.6166365280289331,0.7179023508137432,0.8563829787234043,0.225,0.7777777777777778,0.9875,0.4,0.525,0.6286101260835304
1,982,zero,mix_ffn,1106,553,0.6329113924050633,0.7305605786618445,0.8563829787234043,0.245,0.8131313131313131,0.9875,0.43,0.53125,0.6438773819757863
2,963,zero,mix_ffn,1106,553,0.6220614828209765,0.7233273056057866,0.8723404255319149,0.23,0.7929292929292929,0.98125,0.4,0.525,0.6335866197435346
3,944,zero,mix_ffn,1106,553,0.6283905967450272,0.7233273056057866,0.8723404255319149,0.235,0.8232323232323232,0.99375,0.39,0.525,0.6398871247940396
4,922,zero,mix_ffn,1106,553,0.6247739602169982,0.7088607594936709,0.8563829787234043,0.255,0.797979797979798,0.98125,0.37,0.5625,0.637185462783867
5,899,zero,mix_ffn,1106,553,0.6320072332730561,0.7233273056057866,0.8617021276595744,0.235,0.797979797979798,0.975,0.41,0.5875,0.6445303209398955
6,874,zero,mix_ffn,1106,553,0.6247739602169982,0.7106690777576854,0.8617021276595744,0.215,0.803030303030303,0.99375,0.38,0.575,0.6380804051149797
7,847,zero,mix_ffn,1106,553,0.6220614828209765,0.7179023508137432,0.8670212765957447,0.22,0.7929292929292929,0.99375,0.365,0.575,0.6356167615875062
8,817,zero,mix_ffn,1106,553,0.6247739602169982,0.7233273056057866,0.8670212765957447,0.23,0.7727272727272727,0.9875,0.39,0.58125,0.6380830915538364
9,785,zero,mix_ffn,1106,553,0.6211573236889693,0.7142857142857143,0.8776595744680851,0.225,0.7727272727272727,0.9875,0.375,0.56875,0.6344394745325597
10,749,zero,mix_ffn,1106,553,0.6166365280289331,0.705244122965642,0.8670212765957447,0.225,0.7373737373737373,0.9875,0.395,0.56875,0.6301075023282471
11,710,zero,mix_ffn,1106,553,0.6175406871609403,0.6998191681735986,0.8776595744680851,0.22,0.7525252525252525,0.9875,0.38,0.56875,0.6310724711655562
12,666,zero,mix_ffn,1106,553,0.6211573236889693,0.7124773960216998,0.8723404255319149,0.215,0.7424242424242424,0.9875,0.405,0.5875,0.634960777992693
13,617,zero,mix_ffn,1106,553,0.6193490054249547,0.7106690777576854,0.8670212765957447,0.225,0.7525252525252525,0.9875,0.385,0.58125,0.6330494215201661
14,562,zero,mix_ffn,1106,553,0.6157323688969258,0.701627486437613,0.8670212765957447,0.22,0.7626262626262627,0.9875,0.365,0.575,0.6295245898703347
15,499,zero,mix_ffn,1106,553,0.6184448462929476,0.705244122965642,0.8670212765957447,0.225,0.7575757575757576,0.9875,0.37,0.5875,0.6324328390285837
16,428,zero,mix_ffn,1106,553,0.6175406871609403,0.7034358047016275,0.8617021276595744,0.22,0.7525252525252525,0.9875,0.38,0.5875,0.6315378966974711
17,345,zero,mix_ffn,1106,553,0.6112115732368897,0.6980108499095841,0.8617021276595744,0.23,0.7525252525252525,0.9875,0.36,0.55625,0.6246628966974711
18,249,zero,mix_ffn,1106,553,0.6030741410488246,0.6871609403254972,0.8457446808510638,0.24,0.7424242424242424,0.99375,0.34,0.5375,0.6165698205458844
19,136,zero,mix_ffn,1106,553,0.6148282097649186,0.701627486437613,0.8670212765957447,0.225,0.7474747474747475,0.99375,0.38,0.55625,0.628249337345082
