gradient_type,timestep_label,mae,spearman
Gaussian,999 (iter 1),0.050,0.976
,899 (iter 6),0.083,0.941
,749 (iter 11),0.103,0.894
,499 (iter 16),0.116,0.852
,136 (iter 20),0.122,0.835
,baseline,0.218,-0.002
Horizontal,999 (iter 1),0.067,0.964
,899 (iter 6),0.109,0.902
,749 (iter 11),0.137,0.844
,499 (iter 16),0.154,0.793
,136 (iter 20),0.164,0.753
,baseline,0.260,-0.001
Vertical,999 (iter 1),0.051,0.981
,899 (iter 6),0.085,0.943
,749 (iter 11),0.107,0.903
,499 (iter 16),0.120,0.873
,136 (iter 20),0.124,0.861
,baseline,0.260,0.001
