gradient_type,layer,component,mae,spearman
Gaussian,layer_00,cross_attn,0.217,0.001
,layer_00,mix_ffn_after_gate,0.195,0.270
,layer_00,self_attn_after_gate,0.217,-0.000
,layer_05,cross_attn,0.145,0.827
,layer_05,mix_ffn_after_gate,0.061,0.956
,layer_05,self_attn_after_gate,0.100,0.938
,layer_10,cross_attn,0.217,0.481
,layer_10,mix_ffn_after_gate,0.153,0.816
,layer_10,self_attn_after_gate,0.361,0.475
,layer_15,cross_attn,0.207,0.231
,layer_15,mix_ffn_after_gate,0.107,0.897
,layer_15,self_attn_after_gate,0.380,0.788
,layer_19,cross_attn,0.209,0.045
,layer_19,mix_ffn_after_gate,0.248,0.797
,layer_19,self_attn_after_gate,4.287,0.222
Horizontal,layer_00,cross_attn,0.258,-0.001
,layer_00,mix_ffn_after_gate,0.230,0.177
,layer_00,self_attn_after_gate,0.259,0.001
,layer_05,cross_attn,0.261,0.147
,layer_05,mix_ffn_after_gate,0.088,0.930
,layer_05,self_attn_after_gate,0.139,0.870
,layer_10,cross_attn,0.297,0.030
,layer_10,mix_ffn_after_gate,0.126,0.881
,layer_10,self_attn_after_gate,0.233,0.679
,layer_15,cross_attn,0.260,0.006
,layer_15,mix_ffn_after_gate,0.209,0.789
,layer_15,self_attn_after_gate,0.640,0.453
,layer_19,cross_attn,0.260,-0.001
,layer_19,mix_ffn_after_gate,0.481,0.687
,layer_19,self_attn_after_gate,0.882,0.085
Vertical,layer_00,cross_attn,0.258,0.000
,layer_00,mix_ffn_after_gate,0.230,0.176
,layer_00,self_attn_after_gate,0.258,-0.000
,layer_05,cross_attn,0.179,0.744
,layer_05,mix_ffn_after_gate,0.188,0.803
,layer_05,self_attn_after_gate,0.114,0.914
,layer_10,cross_attn,0.206,0.581
,layer_10,mix_ffn_after_gate,0.107,0.930
,layer_10,self_attn_after_gate,0.176,0.905
,layer_15,cross_attn,0.257,0.080
,layer_15,mix_ffn_after_gate,0.158,0.853
,layer_15,self_attn_after_gate,0.404,0.757
,layer_19,cross_attn,0.260,0.001
,layer_19,mix_ffn_after_gate,0.255,0.758
,layer_19,self_attn_after_gate,10.209,0.079
