severity,issue,timestep,position,component,gradient_type,details
LOW,Loss plateaued (early stopping opportunity),999,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088832 → 0.088846 (improvement: -0.02%). Best was epoch 5 (0.088832)
LOW,Loss plateaued (early stopping opportunity),999,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088862 → 0.088878 (improvement: -0.02%). Best was epoch 5 (0.088862)
LOW,Loss plateaued (early stopping opportunity),999,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067164 → 0.067189 (improvement: -0.04%). Best was epoch 5 (0.067164)
LOW,Loss plateaued (early stopping opportunity),982,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088839 → 0.088865 (improvement: -0.03%). Best was epoch 5 (0.088839)
LOW,Loss plateaued (early stopping opportunity),982,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088860 → 0.088837 (improvement: 0.03%). Best was epoch 5 (0.088860)
LOW,Loss plateaued (early stopping opportunity),982,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067193 → 0.067226 (improvement: -0.05%). Best was epoch 4 (0.067189)
LOW,Loss plateaued (early stopping opportunity),963,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088765 → 0.088776 (improvement: -0.01%). Best was epoch 5 (0.088765)
LOW,Loss plateaued (early stopping opportunity),963,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088831 → 0.088845 (improvement: -0.02%). Best was epoch 5 (0.088831)
LOW,Loss plateaued (early stopping opportunity),963,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067199 → 0.067197 (improvement: 0.00%). Best was epoch 5 (0.067199)
LOW,Loss plateaued (early stopping opportunity),944,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088730 → 0.088766 (improvement: -0.04%). Best was epoch 5 (0.088730)
LOW,Loss plateaued (early stopping opportunity),944,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088857 → 0.088853 (improvement: 0.01%). Best was epoch 5 (0.088857)
LOW,Loss plateaued (early stopping opportunity),944,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067157 → 0.067182 (improvement: -0.04%). Best was epoch 4 (0.067154)
LOW,Loss plateaued (early stopping opportunity),922,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088683 → 0.088719 (improvement: -0.04%). Best was epoch 5 (0.088683)
LOW,Loss plateaued (early stopping opportunity),922,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088872 → 0.088856 (improvement: 0.02%). Best was epoch 5 (0.088872)
LOW,Loss plateaued (early stopping opportunity),922,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067116 → 0.067149 (improvement: -0.05%). Best was epoch 5 (0.067116)
LOW,Loss plateaued (early stopping opportunity),899,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088608 → 0.088668 (improvement: -0.07%). Best was epoch 5 (0.088608)
LOW,Loss plateaued (early stopping opportunity),899,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088857 → 0.088859 (improvement: -0.00%). Best was epoch 3 (0.088852)
LOW,Loss plateaued (early stopping opportunity),899,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.067056 → 0.067019 (improvement: 0.05%). Best was epoch 5 (0.067056)
LOW,Loss plateaued (early stopping opportunity),874,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088431 → 0.088502 (improvement: -0.08%). Best was epoch 5 (0.088431)
LOW,Loss plateaued (early stopping opportunity),874,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088883 → 0.088905 (improvement: -0.02%). Best was epoch 5 (0.088883)
LOW,Loss plateaued (early stopping opportunity),874,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.066906 → 0.066930 (improvement: -0.03%). Best was epoch 5 (0.066906)
LOW,Loss plateaued (early stopping opportunity),847,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088400 → 0.088434 (improvement: -0.04%). Best was epoch 5 (0.088400)
LOW,Loss plateaued (early stopping opportunity),847,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088935 → 0.089000 (improvement: -0.07%). Best was epoch 5 (0.088935)
LOW,Loss plateaued (early stopping opportunity),847,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.066782 → 0.066882 (improvement: -0.15%). Best was epoch 4 (0.066768)
LOW,Loss plateaued (early stopping opportunity),817,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.088261 → 0.088325 (improvement: -0.07%). Best was epoch 3 (0.088236)
LOW,Loss plateaued (early stopping opportunity),817,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088912 → 0.088921 (improvement: -0.01%). Best was epoch 5 (0.088912)
LOW,Loss plateaued (early stopping opportunity),817,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.066572 → 0.066626 (improvement: -0.08%). Best was epoch 4 (0.066561)
LOW,Loss plateaued (early stopping opportunity),785,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.087859 → 0.088025 (improvement: -0.19%). Best was epoch 5 (0.087859)
LOW,Loss plateaued (early stopping opportunity),785,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088960 → 0.088986 (improvement: -0.03%). Best was epoch 5 (0.088960)
LOW,Loss plateaued (early stopping opportunity),785,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.066291 → 0.066298 (improvement: -0.01%). Best was epoch 5 (0.066291)
LOW,Loss plateaued (early stopping opportunity),749,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.087655 → 0.087842 (improvement: -0.21%). Best was epoch 4 (0.087608)
LOW,Loss plateaued (early stopping opportunity),749,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.088998 → 0.089035 (improvement: -0.04%). Best was epoch 5 (0.088998)
LOW,Loss plateaued (early stopping opportunity),749,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.066040 → 0.066161 (improvement: -0.18%). Best was epoch 3 (0.065974)
LOW,Loss plateaued (early stopping opportunity),710,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.087378 → 0.087829 (improvement: -0.52%). Best was epoch 2 (0.087123)
LOW,Loss plateaued (early stopping opportunity),710,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089045 → 0.089183 (improvement: -0.15%). Best was epoch 5 (0.089045)
LOW,Loss plateaued (early stopping opportunity),710,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.065841 → 0.066083 (improvement: -0.37%). Best was epoch 3 (0.065696)
LOW,Loss plateaued (early stopping opportunity),666,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.087333 → 0.087308 (improvement: 0.03%). Best was epoch 2 (0.086964)
LOW,Loss plateaued (early stopping opportunity),666,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089094 → 0.089120 (improvement: -0.03%). Best was epoch 4 (0.089093)
LOW,Loss plateaued (early stopping opportunity),666,initial,patch_embed,Gaussian,Loss plateaued at epoch 9: 0.065362 → 0.065394 (improvement: -0.05%). Best was epoch 9 (0.065362)
LOW,Loss plateaued (early stopping opportunity),617,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.087029 → 0.086996 (improvement: 0.04%). Best was epoch 5 (0.087029)
LOW,Loss plateaued (early stopping opportunity),617,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089026 → 0.089202 (improvement: -0.20%). Best was epoch 4 (0.089017)
LOW,Loss plateaued (early stopping opportunity),617,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.065099 → 0.065512 (improvement: -0.63%). Best was epoch 2 (0.064707)
LOW,Loss plateaued (early stopping opportunity),562,initial,patch_embed,Vertical,Loss plateaued at epoch 7: 0.086490 → 0.086404 (improvement: 0.10%). Best was epoch 7 (0.086490)
LOW,Loss plateaued (early stopping opportunity),562,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089275 → 0.089401 (improvement: -0.14%). Best was epoch 3 (0.089150)
LOW,Loss plateaued (early stopping opportunity),562,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.064744 → 0.065371 (improvement: -0.97%). Best was epoch 2 (0.064401)
LOW,Loss plateaued (early stopping opportunity),499,initial,patch_embed,Vertical,Loss plateaued at epoch 6: 0.085951 → 0.085906 (improvement: 0.05%). Best was epoch 6 (0.085951)
LOW,Loss plateaued (early stopping opportunity),499,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089230 → 0.089532 (improvement: -0.34%). Best was epoch 5 (0.089230)
LOW,Loss plateaued (early stopping opportunity),499,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.064535 → 0.065569 (improvement: -1.60%). Best was epoch 1 (0.063923)
LOW,Loss plateaued (early stopping opportunity),428,initial,patch_embed,Vertical,Loss plateaued at epoch 5: 0.085393 → 0.085712 (improvement: -0.37%). Best was epoch 4 (0.085337)
LOW,Loss plateaued (early stopping opportunity),428,initial,patch_embed,Horizontal,Loss plateaued at epoch 5: 0.089219 → 0.089354 (improvement: -0.15%). Best was epoch 3 (0.089114)
LOW,Loss plateaued (early stopping opportunity),428,initial,patch_embed,Gaussian,Loss plateaued at epoch 5: 0.063690 → 0.064529 (improvement: -1.32%). Best was epoch 2 (0.062986)
