timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,0,self_attn_after_gate,Vertical,1,0.25815755,0.00043294168,0.002334539760773335,0.0008177956148789218
999,0,self_attn_after_gate,Horizontal,1,0.25809968,0.00025140864,-0.001617383097298647,0.0008995099845079468
999,0,self_attn_after_gate,Gaussian,1,0.21545228,0.0006452324,-0.002709179677805617,0.0009007233195949162
999,1,self_attn_after_gate,Vertical,1,0.23679377,0.004766985,0.24249249898404251,0.0024768277858856417
999,1,self_attn_after_gate,Horizontal,1,0.2405617,0.0046000243,0.23753153646307723,0.0018320273101580528
999,1,self_attn_after_gate,Gaussian,1,0.20078398,0.008740337,0.3225223846461855,0.0014390274523345826
999,2,self_attn_after_gate,Vertical,1,0.19824874,0.0078956485,0.5364126460396748,0.003906693543029633
999,2,self_attn_after_gate,Horizontal,1,0.20634721,0.00835706,0.5062794252413524,0.0024944680743653543
999,2,self_attn_after_gate,Gaussian,1,0.16189662,0.0075010024,0.669082646785321,0.0020604208414117683
999,0,cross_attn,Vertical,1,0.27238244,0.018477209,0.0037868040482088848,0.0010086697517943351
999,0,cross_attn,Horizontal,1,0.27356204,0.023539515,0.0007138219386990959,0.0009205436364639914
999,0,cross_attn,Gaussian,1,0.22988339,0.020502826,-0.0008207819962812155,0.0010793822912943652
999,1,cross_attn,Vertical,1,0.26636526,0.015628735,0.09984896907292196,0.004744972618885765
999,1,cross_attn,Horizontal,1,0.2705861,0.014230018,0.02384042318314623,0.00316502524293043
999,1,cross_attn,Gaussian,1,0.21249762,0.01784125,0.2763598365325691,0.0048268047689501055
999,2,cross_attn,Vertical,1,0.23506716,0.023650836,0.43021853459163206,0.010470898643809158
999,2,cross_attn,Horizontal,1,0.269935,0.015775466,0.05866762469857597,0.0034956383508826187
999,2,cross_attn,Gaussian,1,0.20703569,0.032927167,0.5337549078413006,0.009168471739111875
999,0,mix_ffn_after_gate,Vertical,1,0.23675035,0.0024244413,0.17489142060469223,0.0010015197323525863
999,0,mix_ffn_after_gate,Horizontal,1,0.23597287,0.0018849992,0.17090248481502116,0.0008024704091230114
999,0,mix_ffn_after_gate,Gaussian,1,0.19832113,0.0020334434,0.26853208242714716,0.0008037668294997386
999,1,mix_ffn_after_gate,Vertical,1,0.20784312,0.0028793586,0.3991434374192873,0.0011374029116632419
999,1,mix_ffn_after_gate,Horizontal,1,0.20961338,0.0032653974,0.3822200040743931,0.0013566986243741888
999,1,mix_ffn_after_gate,Gaussian,1,0.17827086,0.0033939807,0.5263038861293841,0.0006641516660716985
999,2,mix_ffn_after_gate,Vertical,1,0.17186755,0.008229939,0.644823655097792,0.0018634159097498573
999,2,mix_ffn_after_gate,Horizontal,1,0.17190084,0.0054169567,0.6319601384816628,0.0009474879977718245
999,2,mix_ffn_after_gate,Gaussian,1,0.14107382,0.0068278825,0.7790919859208952,0.0006285766485567107
982,0,self_attn_after_gate,Vertical,1,0.2582431,0.00073992653,0.0051706367424561115,0.0012237648355099835
982,0,self_attn_after_gate,Horizontal,1,0.25816327,0.00032218746,-0.0030067796603719366,0.0007550250372318104
982,0,self_attn_after_gate,Gaussian,1,0.21576543,0.0010812812,-0.0024278073667400005,0.0009694846833996676
982,1,self_attn_after_gate,Vertical,1,0.23483236,0.004941584,0.27844295438490985,0.003449467474383178
982,1,self_attn_after_gate,Horizontal,1,0.24355759,0.0050003207,0.24330342859307538,0.00251384069806302
982,1,self_attn_after_gate,Gaussian,1,0.20206013,0.011082073,0.35229670843399213,0.0035116820011601713
982,2,self_attn_after_gate,Vertical,1,0.193067,0.011300128,0.5823692442611474,0.00450801280039323
982,2,self_attn_after_gate,Horizontal,1,0.21254268,0.010203797,0.5164112910855829,0.0025335355045744516
982,2,self_attn_after_gate,Gaussian,1,0.16266489,0.010165838,0.6913544145710827,0.0018881305235057323
982,0,cross_attn,Vertical,1,0.2828655,0.03971609,0.000683675258364053,0.0013295977411258023
982,0,cross_attn,Horizontal,1,0.27762547,0.018996399,0.002537727024741171,0.0008730667601414585
982,0,cross_attn,Gaussian,1,0.2277973,0.018843312,0.005903746031362146,0.0015716876059455953
982,1,cross_attn,Vertical,1,0.26841876,0.022366771,0.11570939536293125,0.006639791931179321
982,1,cross_attn,Horizontal,1,0.26941216,0.011232201,0.010224653045247284,0.0038622087159883418
982,1,cross_attn,Gaussian,1,0.21257544,0.0192962,0.2970735646217372,0.0034442523218785725
982,2,cross_attn,Vertical,1,0.23517628,0.027012186,0.45235243884257914,0.011148753967297807
