timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,0,block_output,Vertical,1,0.23081107,0.0015641362,0.17779168055681147,0.0010711835050744817
999,0,block_output,Horizontal,1,0.23077264,0.0013844301,0.17197926014317982,0.0010250107250176482
999,0,block_output,Gaussian,1,0.19494295,0.001927411,0.266537327391124,0.000889937381304568
999,1,block_output,Vertical,1,0.20152657,0.0028202238,0.42225124864952746,0.0012359567985449054
999,1,block_output,Horizontal,1,0.20198436,0.0026622266,0.41110482954020683,0.0017705832487372832
999,1,block_output,Gaussian,1,0.1683693,0.002195133,0.5627104467204164,0.0010723730733073356
999,2,block_output,Vertical,1,0.16421965,0.0077190525,0.6616565338261158,0.0018479388982008663
999,2,block_output,Horizontal,1,0.16413952,0.0057342695,0.6477135495204803,0.0012665297282046426
999,2,block_output,Gaussian,1,0.13576204,0.006952169,0.799881685690014,0.0007936747888699444
999,3,block_output,Vertical,1,0.104054734,0.009134447,0.8704321541329143,0.0007072081254608626
999,3,block_output,Horizontal,1,0.12378009,0.011338371,0.8342945857830684,0.0008325187265703502
999,3,block_output,Gaussian,1,0.0972291,0.008278407,0.9044635602996108,0.00026187644053355156
999,4,block_output,Vertical,1,0.09047121,0.011676722,0.9247005971019998,0.0002757646924104606
999,4,block_output,Horizontal,1,0.089225255,0.008973269,0.9166012729032218,0.00033164923419357924
999,4,block_output,Gaussian,1,0.08002843,0.00950268,0.9335486256637593,0.0001555086761561526
999,initial,patch_embed,Vertical,1,0.25814593,0.00049030606,0.0020333556898813492,0.0010034419388241223
999,initial,patch_embed,Horizontal,1,0.25815722,0.00037603348,6.981985866773592e-05,0.0009216037361434429
999,initial,patch_embed,Gaussian,1,0.21595854,0.0004314451,-0.0015847551129992944,0.0011551659503186863
999,final,proj_out,Vertical,1,0.0663511,0.02199489,0.9696890471686652,0.0005494413289396269
999,final,proj_out,Horizontal,1,0.08824202,0.017178964,0.9366744477988298,0.0007981448156565381
999,final,proj_out,Gaussian,1,0.059732586,0.012784457,0.9667516202710139,0.00024383312150184637
982,0,block_output,Vertical,1,0.23160888,0.0027445978,0.19826487180057964,0.001889275608098966
982,0,block_output,Horizontal,1,0.22971703,0.001013396,0.1725075953682624,0.0008682165637834395
