timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,10,block_output,Vertical,1,0.050263595,0.013559733,0.9831774198555849,0.00010163562880191184
999,10,block_output,Horizontal,1,0.06492847,0.01318278,0.9701365727485005,0.00012491844488848354
999,10,block_output,Gaussian,1,0.05785271,0.0122174425,0.9603595077033735,0.00023453258388557842
999,11,block_output,Vertical,1,0.046129514,0.011637768,0.986898334568737,6.38974760756988e-05
999,11,block_output,Horizontal,1,0.048694577,0.00931206,0.9825342943863259,6.4126387146472e-05
999,11,block_output,Gaussian,1,0.05120856,0.0122964075,0.9698326416250983,0.0001851011837090637
999,12,block_output,Vertical,1,0.0409687,0.013319153,0.989239763771042,5.402618122345621e-05
999,12,block_output,Horizontal,1,0.053004447,0.010971467,0.9796481730237686,0.00010177567083848701
999,12,block_output,Gaussian,1,0.048867896,0.0100714555,0.9714567110657462,0.00012089725171492954
999,13,block_output,Vertical,1,0.049966235,0.013872974,0.9829696313877606,0.00013832563011282136
999,13,block_output,Horizontal,1,0.049071606,0.012091157,0.9829812097231992,9.160320898028007e-05
999,13,block_output,Gaussian,1,0.059533387,0.01253527,0.9610002701904863,0.00021160726755351796
999,14,block_output,Vertical,1,0.057363693,0.015008299,0.9768937230331853,0.00019678910642741024
999,14,block_output,Horizontal,1,0.049055453,0.011407184,0.982346904230043,0.00010774578339555708
999,14,block_output,Gaussian,1,0.054217394,0.012717406,0.9649013502426059,0.00020663308660666293
982,10,block_output,Vertical,1,0.06820046,0.014695713,0.9661699834037232,0.00021344421257364732
982,10,block_output,Horizontal,1,0.05511681,0.010025168,0.9773175673279272,8.276113519137816e-05
982,10,block_output,Gaussian,1,0.061686788,0.0126407435,0.9566439975436333,0.00021463625837103793
982,11,block_output,Vertical,1,0.058234267,0.013781214,0.9762190894503192,0.0001477117683144796
982,11,block_output,Horizontal,1,0.05982619,0.011402105,0.9731589166540828,0.00012431394119188517
982,11,block_output,Gaussian,1,0.04784063,0.010671709,0.9750914332948614,9.525144439794744e-05
982,12,block_output,Vertical,1,0.042245355,0.013618152,0.9872649428847674,7.92558964638456e-05
982,12,block_output,Horizontal,1,0.057841484,0.011131288,0.9745808213651748,0.00011965270445910195
982,12,block_output,Gaussian,1,0.04342337,0.009379811,0.9802258002982775,5.96121566881832e-05
982,13,block_output,Vertical,1,0.049433406,0.01394964,0.9821265691891236,0.00015149146200913724
982,13,block_output,Horizontal,1,0.05353096,0.011269402,0.9790627736385609,0.0001225196140867067
982,13,block_output,Gaussian,1,0.050689965,0.012074179,0.9726660868086452,0.00010242994115860177
982,14,block_output,Vertical,1,0.048879948,0.014729045,0.9829809843619732,0.00013527954702584452
982,14,block_output,Horizontal,1,0.057216592,0.012726204,0.9748466009110334,0.0002238443794256892
982,14,block_output,Gaussian,1,0.084182546,0.018240476,0.9230421766684906,0.0012843816445625524
963,10,block_output,Vertical,1,0.056391753,0.014516328,0.9772219283219967,0.0001926104663504893
963,10,block_output,Horizontal,1,0.052879434,0.010955409,0.9785663705719678,9.766558631100744e-05
963,10,block_output,Gaussian,1,0.052385826,0.011677123,0.9705437529671253,0.0001231365690252813
963,11,block_output,Vertical,1,0.054644078,0.01394536,0.9783631833657513,0.00023005315355145505
963,11,block_output,Horizontal,1,0.059136532,0.012114031,0.9731863011454891,0.00015953209065643618
963,11,block_output,Gaussian,1,0.047824632,0.010589387,0.9764037925057171,9.511071377730968e-05
963,12,block_output,Vertical,1,0.069616534,0.01746574,0.9656116249939936,0.00032946617178712857
963,12,block_output,Horizontal,1,0.05540965,0.012661148,0.9767485051381045,0.00015228236200595
963,12,block_output,Gaussian,1,0.04924931,0.010491065,0.9753341784418843,0.00011342380510474972
963,13,block_output,Vertical,1,0.06328732,0.015780121,0.9706637109690852,0.0002912376784617277
963,13,block_output,Horizontal,1,0.06452115,0.014140032,0.9660644352664702,0.0002749723213782289
963,13,block_output,Gaussian,1,0.06886616,0.015147042,0.9506414047415351,0.0004847132154502808
963,14,block_output,Vertical,1,0.07504889,0.020064496,0.9580180569080712,0.0006425202703230228
963,14,block_output,Horizontal,1,0.058798403,0.014740604,0.9725753046057483,0.0002885196414938906
963,14,block_output,Gaussian,1,0.08347716,0.017490175,0.9262082181918113,0.001388822832617913
944,10,block_output,Vertical,1,0.053005844,0.01297155,0.979133872659895,0.00018252964666966176
944,10,block_output,Horizontal,1,0.07342637,0.012982348,0.9584060278678609,0.0002836646428172517
944,10,block_output,Gaussian,1,0.058037754,0.010951154,0.9666508991721905,0.00017699930867926157
944,11,block_output,Vertical,1,0.052417908,0.013168677,0.9800049112685106,0.00021354139177401778
944,11,block_output,Horizontal,1,0.068131335,0.013072629,0.9641436460947539,0.0002913621542289038
944,11,block_output,Gaussian,1,0.05325539,0.011168107,0.9723614342648615,0.0001227579541905164
944,12,block_output,Vertical,1,0.052321948,0.01359087,0.9799912718805993,0.00020318525566499548
944,12,block_output,Horizontal,1,0.0607692,0.014229197,0.9709319789232069,0.0002877771322188841
944,12,block_output,Gaussian,1,0.057394996,0.011479294,0.9698470116909361,0.00015984903347277476
944,13,block_output,Vertical,1,0.05552719,0.015025293,0.9775440081915998,0.00028656066672129834
