timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,12,self_attn_after_gate,Vertical,1,0.11882485,0.04158875,0.9321146252181945,0.002586083610009371
999,12,self_attn_after_gate,Horizontal,1,0.1835084,0.02971031,0.7367808470316837,0.01014011247546602
999,12,self_attn_after_gate,Gaussian,1,0.10671268,0.027726516,0.9222653592147296,0.0019087203845945195
999,13,self_attn_after_gate,Vertical,1,0.123449124,0.04011506,0.9235105020066078,0.0043857762716115285
999,13,self_attn_after_gate,Horizontal,1,0.13963513,0.045526724,0.9026250183254381,0.005075679351960544
999,13,self_attn_after_gate,Gaussian,1,0.11336975,0.03501599,0.9118914145119952,0.0018842520503435129
999,14,self_attn_after_gate,Vertical,1,0.13311355,0.05125558,0.9293866042801885,0.0027409405824085687
999,14,self_attn_after_gate,Horizontal,1,0.21640943,0.047434025,0.658282557327049,0.013179778272517175
999,14,self_attn_after_gate,Gaussian,1,0.1437039,0.059546195,0.8977941756132437,0.002354335237347011
999,12,cross_attn,Vertical,1,0.26258355,0.050998673,0.22182719505666576,0.035911598611819064
999,12,cross_attn,Horizontal,1,0.26879275,0.02596849,0.0209647747494131,0.004455746933683277
999,12,cross_attn,Gaussian,1,0.20265484,0.041796844,0.4761786278557096,0.03891220404751511
999,13,cross_attn,Vertical,1,0.24872993,0.03167015,0.3002148042357124,0.07507221053269347
999,13,cross_attn,Horizontal,1,0.2697287,0.018069182,0.02918271670288499,0.005608604363907226
999,13,cross_attn,Gaussian,1,0.21936953,0.046215292,0.36193860585474946,0.07582586698112795
999,14,cross_attn,Vertical,1,0.2597643,0.052771922,0.2304287429822446,0.0474034630888141
999,14,cross_attn,Horizontal,1,0.26929823,0.033513207,0.038035122959517775,0.003946723893945026
999,14,cross_attn,Gaussian,1,0.21022572,0.05941384,0.5033814060333133,0.02498163322473999
999,12,mix_ffn_after_gate,Vertical,1,0.07389792,0.017628476,0.9597309053522265,0.00045561253069277324
999,12,mix_ffn_after_gate,Horizontal,1,0.07578147,0.011511307,0.9552992423149046,0.0002578454049263211
999,12,mix_ffn_after_gate,Gaussian,1,0.074832186,0.014439452,0.9400330704643216,0.0005842566219882256
999,13,mix_ffn_after_gate,Vertical,1,0.078562275,0.017286979,0.9532010491291371,0.000609274343008769
999,13,mix_ffn_after_gate,Horizontal,1,0.08789576,0.013551237,0.9387104064753174,0.0005029338581064405
999,13,mix_ffn_after_gate,Gaussian,1,0.073071636,0.014129681,0.9425750274655367,0.0003405736432877738
999,14,mix_ffn_after_gate,Vertical,1,0.08968803,0.016790401,0.9377373563677732,0.0008407721912497515
999,14,mix_ffn_after_gate,Horizontal,1,0.08741167,0.015037078,0.9386059335068143,0.000721791310471277
999,14,mix_ffn_after_gate,Gaussian,1,0.07677709,0.015166422,0.9336369577734145,0.0007204205741438971
982,12,self_attn_after_gate,Vertical,1,0.121270105,0.042604547,0.9186544866996377,0.0032406901590151306
982,12,self_attn_after_gate,Horizontal,1,0.19218889,0.038303785,0.7110327392496467,0.015172433194940967
982,12,self_attn_after_gate,Gaussian,1,0.11402577,0.03330912,0.913167315905711,0.0025135970526889246
982,13,self_attn_after_gate,Vertical,1,0.12083016,0.04150335,0.904716234380809,0.008175805416029698
982,13,self_attn_after_gate,Horizontal,1,0.14628184,0.05539211,0.8836983117040487,0.009741595908610661
982,13,self_attn_after_gate,Gaussian,1,0.12785517,0.044386867,0.8940988351326644,0.0025298455483251255
982,14,self_attn_after_gate,Vertical,1,0.1569981,0.051901493,0.8733874369818238,0.008963444188284451
982,14,self_attn_after_gate,Horizontal,1,0.21992849,0.046363663,0.6232601672037622,0.01541810810036495
982,14,self_attn_after_gate,Gaussian,1,0.15093394,0.052895196,0.8967657527757169,0.003173744574597775
982,12,cross_attn,Vertical,1,0.2613572,0.019610165,0.124742271014787,0.034545870636653646
982,12,cross_attn,Horizontal,1,0.27165362,0.0291,0.013057832271658541,0.0039115904608214075
982,12,cross_attn,Gaussian,1,0.20233065,0.035300717,0.45416243879871837,0.04533278033479779
982,13,cross_attn,Vertical,1,0.24760646,0.028804943,0.25975188866325327,0.08495378113905955
982,13,cross_attn,Horizontal,1,0.26503453,0.010652988,0.028606165757048593,0.00557498277313929
982,13,cross_attn,Gaussian,1,0.21744442,0.042029902,0.38686434952453974,0.056708295026239516
982,14,cross_attn,Vertical,1,0.2570384,0.023739489,0.17795239006840732,0.04692634347963466
982,14,cross_attn,Horizontal,1,0.27020895,0.028275508,0.028328287208664628,0.004612881828482606
982,14,cross_attn,Gaussian,1,0.21249047,0.05579876,0.45250960394829237,0.03670307668324428
982,12,mix_ffn_after_gate,Vertical,1,0.08049556,0.016473018,0.9505300334355258,0.0006097314822818327
982,12,mix_ffn_after_gate,Horizontal,1,0.08084529,0.012885937,0.9477535410325274,0.0003326430900528112
982,12,mix_ffn_after_gate,Gaussian,1,0.08070611,0.016283048,0.9367365929477987,0.0006072846032729024
982,13,mix_ffn_after_gate,Vertical,1,0.08514837,0.017641157,0.942700224269295,0.0007578169220204704
982,13,mix_ffn_after_gate,Horizontal,1,0.09460876,0.015117691,0.9252149206441621,0.0008348906205042994
982,13,mix_ffn_after_gate,Gaussian,1,0.08043248,0.014836316,0.9330248035655635,0.00046397109839554077
982,14,mix_ffn_after_gate,Vertical,1,0.08218637,0.016072044,0.9466703307332865,0.0006779308960130815
982,14,mix_ffn_after_gate,Horizontal,1,0.09736738,0.017191207,0.9205410108291292,0.0012770048915959871
982,14,mix_ffn_after_gate,Gaussian,1,0.083959796,0.015457703,0.925856424172251,0.0007003072360871994
963,12,self_attn_after_gate,Vertical,1,0.12680097,0.04502773,0.8983410329711383,0.008168073477431266
963,12,self_attn_after_gate,Horizontal,1,0.20131011,0.037892815,0.6679835033640684,0.02142029047317169
963,12,self_attn_after_gate,Gaussian,1,0.1196616,0.027325459,0.8927022507504806,0.003644397160796515
963,13,self_attn_after_gate,Vertical,1,0.13725364,0.04833411,0.8760581576626714,0.014293331397387048
963,13,self_attn_after_gate,Horizontal,1,0.1551436,0.05397099,0.856246654588122,0.017675728853535935
963,13,self_attn_after_gate,Gaussian,1,0.12699746,0.037875943,0.8875059524277634,0.003277631267419674
963,14,self_attn_after_gate,Vertical,1,0.14912672,0.054955415,0.8766359267340846,0.009861613557374839
963,14,self_attn_after_gate,Horizontal,1,0.23326561,0.04077717,0.5400670575520609,0.02090814663414771
963,14,self_attn_after_gate,Gaussian,1,0.14260057,0.0520632,0.8777629070724453,0.003785337361706661
963,12,cross_attn,Vertical,1,0.26205313,0.027978484,0.14652332610431848,0.03814974523437269
963,12,cross_attn,Horizontal,1,0.26601958,0.01352445,0.005055577524045668,0.0043826200690032305
963,12,cross_attn,Gaussian,1,0.21602094,0.033393074,0.3663941970778042,0.04095003224071009
963,13,cross_attn,Vertical,1,0.25090426,0.029875325,0.24216768861007523,0.08365799663680246
963,13,cross_attn,Horizontal,1,0.2654175,0.007102777,0.012247716533293233,0.007517547927881076
963,13,cross_attn,Gaussian,1,0.22264534,0.032828175,0.3511362289338317,0.057924284133130895
