timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,15,self_attn_after_gate,Vertical,1,0.12434554,0.043560214,0.9187522903014286,0.002941228825135423
999,15,self_attn_after_gate,Horizontal,1,0.19040944,0.045381982,0.7594807702163747,0.01905845990983576
999,15,self_attn_after_gate,Gaussian,1,0.10768341,0.037397776,0.9213599887764086,0.0020528732044592236
999,16,self_attn_after_gate,Vertical,1,0.1178262,0.044421826,0.9304068789382437,0.0040912468726336795
999,16,self_attn_after_gate,Horizontal,1,0.13236684,0.047100313,0.9002054396243766,0.0038912598152027467
999,16,self_attn_after_gate,Gaussian,1,0.11903956,0.032609794,0.8998645139266302,0.004387023990777253
999,17,self_attn_after_gate,Vertical,1,0.14079863,0.048512053,0.9108249172293996,0.0029379861183392243
999,17,self_attn_after_gate,Horizontal,1,0.19234224,0.046569437,0.7597525769641456,0.009497552546069042
999,17,self_attn_after_gate,Gaussian,1,0.15396154,0.052143212,0.867749557386627,0.004670949982111674
999,15,cross_attn,Vertical,1,0.27755606,0.05669287,0.048389841773848405,0.01065591982761236
999,15,cross_attn,Horizontal,1,0.28010067,0.10593778,0.00208991998707418,0.0013448475032572325
999,15,cross_attn,Gaussian,1,0.22145666,0.04540424,0.1953437803580434,0.04645000949506471
999,16,cross_attn,Vertical,1,0.27506062,0.074179955,0.011912816002078072,0.013423403240466645
999,16,cross_attn,Horizontal,1,0.26625165,0.012725802,0.0054494667354609665,0.0022015656527076015
999,16,cross_attn,Gaussian,1,0.24012437,0.087482296,0.085567084663258,0.03488550011333669
999,17,cross_attn,Vertical,1,0.2823981,0.09759633,0.023958069369280573,0.009861321497277024
999,17,cross_attn,Horizontal,1,0.27827817,0.08331484,0.014865499182482684,0.003283079778037143
999,17,cross_attn,Gaussian,1,0.22822927,0.11566723,0.09826416727650766,0.04195904452760787
999,15,mix_ffn_after_gate,Vertical,1,0.07594987,0.01690878,0.9574759928641042,0.0005411439373698707
999,15,mix_ffn_after_gate,Horizontal,1,0.087329954,0.014338136,0.9381156308708946,0.0006841938345313532
999,15,mix_ffn_after_gate,Gaussian,1,0.07989686,0.017280042,0.9308399233707935,0.000832012969250806
999,16,mix_ffn_after_gate,Vertical,1,0.07964244,0.016943986,0.9531919288149372,0.0007490908891673241
999,16,mix_ffn_after_gate,Horizontal,1,0.08759675,0.014412792,0.9369728839749495,0.0008059534183537373
999,16,mix_ffn_after_gate,Gaussian,1,0.07898069,0.016907163,0.9287392495398291,0.0009560124707466314
999,17,mix_ffn_after_gate,Vertical,1,0.0989843,0.022052318,0.9259547388456835,0.0019591038151915165
999,17,mix_ffn_after_gate,Horizontal,1,0.09503474,0.017240815,0.9295317881829942,0.0006541506664015785
999,17,mix_ffn_after_gate,Gaussian,1,0.084464304,0.015137056,0.9250422103559148,0.0009387944141225239
