timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,15,block_output,Vertical,1,0.04478262,0.01569406,0.9863661637175332,0.00012364947052254414
999,15,block_output,Horizontal,1,0.069536045,0.016020404,0.9627832010385844,0.00035740465487881597
999,15,block_output,Gaussian,1,0.050165948,0.011075986,0.9722773393307498,0.00011565059683913124
999,16,block_output,Vertical,1,0.062060226,0.01618234,0.9712789385823531,0.0003439794490114803
999,16,block_output,Horizontal,1,0.06487987,0.015450582,0.9687237525433128,0.0002752424191024558
999,16,block_output,Gaussian,1,0.07579534,0.021293076,0.9375624327067552,0.0006243844340314711
999,17,block_output,Vertical,1,0.067888506,0.018633295,0.9661840647326279,0.0005136434592097047
999,17,block_output,Horizontal,1,0.053133592,0.013449312,0.9788716997937835,0.0001904099315888178
999,17,block_output,Gaussian,1,0.0560079,0.013324188,0.9656710790779737,0.00024382342076479638
999,18,block_output,Vertical,1,0.100203745,0.024398772,0.9307335939786258,0.0013941271623890592
999,18,block_output,Horizontal,1,0.10994493,0.025246942,0.9109127792334543,0.0015422778552336121
999,18,block_output,Gaussian,1,0.06446283,0.012601581,0.9503135244960871,0.0006204625030172123
999,19,block_output,Vertical,1,0.097229615,0.024301434,0.9312287716001554,0.0016365327650567961
999,19,block_output,Horizontal,1,0.08732203,0.018012678,0.940306944020864,0.00089102840957982
999,19,block_output,Gaussian,1,0.07616668,0.01754745,0.9481469860642369,0.0005218528797184656
982,15,block_output,Vertical,1,0.046198133,0.014762767,0.985011756631353,0.00010840624934978487
982,15,block_output,Horizontal,1,0.05282467,0.012419591,0.9786691529738808,0.0001694378506104785
982,15,block_output,Gaussian,1,0.050369073,0.01074234,0.9744376113188236,0.00011092852360542202
982,16,block_output,Vertical,1,0.05177822,0.016531056,0.9810761281767202,0.00020575416221793849
982,16,block_output,Horizontal,1,0.06701289,0.014893803,0.9650489980225331,0.00035700164403576343
982,16,block_output,Gaussian,1,0.0666974,0.013902325,0.951140697752724,0.00036904631043023945
982,17,block_output,Vertical,1,0.07489612,0.018943664,0.9584353174965189,0.00065353331350643
982,17,block_output,Horizontal,1,0.06090517,0.014331273,0.971584140674882,0.00027788923798956433
982,17,block_output,Gaussian,1,0.052166425,0.012035838,0.9722933954481173,9.539501757527795e-05
982,18,block_output,Vertical,1,0.11127883,0.029766291,0.9151697683433565,0.00218703879007979
982,18,block_output,Horizontal,1,0.11598404,0.024055801,0.9013560706803848,0.0016187442729170979
982,18,block_output,Gaussian,1,0.09058616,0.01809044,0.9060912075058896,0.001919805000537737
982,19,block_output,Vertical,1,0.07417406,0.023529995,0.9606639155668332,0.0007458764672446146
982,19,block_output,Horizontal,1,0.09698143,0.023501217,0.929161320855515,0.0012279160476863368
982,19,block_output,Gaussian,1,0.081537336,0.018596455,0.9290075159257916,0.0009435013263292101
963,15,block_output,Vertical,1,0.059856042,0.017342068,0.9736348302006317,0.00038011863349325333
963,15,block_output,Horizontal,1,0.07569399,0.017213445,0.9561528183859395,0.00045385680448569013
963,15,block_output,Gaussian,1,0.06217299,0.012803281,0.9617646478964669,0.0002699625321956051
963,16,block_output,Vertical,1,0.07079322,0.020051781,0.9625043045515637,0.0005591387973770004
963,16,block_output,Horizontal,1,0.076501444,0.01787314,0.9525474275153338,0.0006343095296594616
963,16,block_output,Gaussian,1,0.061123163,0.01308769,0.9638610697970291,0.0002216404827284676
963,17,block_output,Vertical,1,0.05843008,0.018153986,0.9758887695753132,0.0003639137211380724
963,17,block_output,Horizontal,1,0.101244725,0.020698272,0.916804597892009,0.0015040101863352218
963,17,block_output,Gaussian,1,0.06314164,0.01372287,0.9625580902490863,0.00028352463026146737
963,18,block_output,Vertical,1,0.12349397,0.02932246,0.8959604780029672,0.003850992310424826
963,18,block_output,Horizontal,1,0.12170187,0.026417114,0.8920244147649246,0.002718968566765549
963,18,block_output,Gaussian,1,0.09233914,0.019598637,0.9122833422662215,0.0024375488695159275
963,19,block_output,Vertical,1,0.08582346,0.025549835,0.9450311126036449,0.001518079604950924
963,19,block_output,Horizontal,1,0.11367356,0.026122592,0.893859730209396,0.0027403883084994706
963,19,block_output,Gaussian,1,0.0800829,0.015593565,0.9321484276460745,0.000993589292730849
944,15,block_output,Vertical,1,0.063470915,0.017129712,0.9702188172418796,0.00042797651309748594
944,15,block_output,Horizontal,1,0.084186226,0.017347047,0.9425559277428391,0.0006458099643742026
944,15,block_output,Gaussian,1,0.06003834,0.011359599,0.9673089621295463,0.00020618914391840499
944,16,block_output,Vertical,1,0.06723022,0.019410765,0.9652944185566884,0.0006381034500605891
944,16,block_output,Horizontal,1,0.0681243,0.014690651,0.9618464715974261,0.0004784240845657905
944,16,block_output,Gaussian,1,0.06657042,0.012490116,0.958303285549908,0.00026747324335357975
944,17,block_output,Vertical,1,0.06774016,0.020653099,0.9657141319421975,0.0005041949479869975
944,17,block_output,Horizontal,1,0.07368762,0.016028034,0.955074914250029,0.0006118494308405475
944,17,block_output,Gaussian,1,0.07424983,0.013716815,0.9436965736477192,0.0005949138367213619
944,18,block_output,Vertical,1,0.11964036,0.027627869,0.8991813292705828,0.003500266151343138
944,18,block_output,Horizontal,1,0.11745039,0.024113806,0.8975786446491347,0.0020755071167370786
944,18,block_output,Gaussian,1,0.12668882,0.025018416,0.8612949970379375,0.00421332617851601
944,19,block_output,Vertical,1,0.095526956,0.02520312,0.9295989727847334,0.002236995115014512
944,19,block_output,Horizontal,1,0.105515376,0.023586921,0.9095179727673603,0.0017413109355102234
944,19,block_output,Gaussian,1,0.102077514,0.020803452,0.8931524149716461,0.003122307005334034
