timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,18,self_attn_after_gate,Vertical,1,0.15567029,0.054881148,0.8869796011288983,0.010593056628167518
999,18,self_attn_after_gate,Horizontal,1,0.20660318,0.042952582,0.6499000555327243,0.029123375697002348
999,18,self_attn_after_gate,Gaussian,1,0.13775356,0.031023975,0.8673441014542926,0.004461958732326177
999,19,self_attn_after_gate,Vertical,1,0.2022523,0.03476577,0.6832323445624027,0.0398104033999709
999,19,self_attn_after_gate,Horizontal,1,0.24222387,0.007969086,0.4114711390117654,0.016492816380778236
999,19,self_attn_after_gate,Gaussian,1,0.15274866,0.025503775,0.7817928173955222,0.012876704939620337
999,18,cross_attn,Vertical,1,0.27726027,0.10115313,-0.00548163430368582,0.00826765611834467
999,18,cross_attn,Horizontal,1,0.27369437,0.097586505,0.02632407020996347,0.00404093760645831
999,18,cross_attn,Gaussian,1,0.22024474,0.038723,0.11452644120536273,0.03381894749887709
999,19,cross_attn,Vertical,1,0.25805905,6.5844986e-05,-0.00703319024083297,0.007160925445062532
999,19,cross_attn,Horizontal,1,0.25811574,0.00034720972,-0.00519805387486762,0.0013321174981221686
999,19,cross_attn,Gaussian,1,0.21563555,0.0011825131,-0.020042333242117637,0.0036434577603008367
999,18,mix_ffn_after_gate,Vertical,1,0.101647705,0.027230557,0.9203023867792013,0.0033170663225674146
999,18,mix_ffn_after_gate,Horizontal,1,0.11682503,0.01927751,0.8940458395124389,0.0015610769392591659
999,18,mix_ffn_after_gate,Gaussian,1,0.12996654,0.022434885,0.8317479886343601,0.004784128719251871
999,19,mix_ffn_after_gate,Vertical,1,0.17005125,0.03516931,0.7640666875442759,0.033889663654968906
999,19,mix_ffn_after_gate,Horizontal,1,0.18756984,0.02148821,0.7222457295739307,0.018527222291776925
999,19,mix_ffn_after_gate,Gaussian,1,0.11924498,0.019804318,0.8784255462900848,0.002998023926028276
982,18,self_attn_after_gate,Vertical,1,0.17170179,0.049177345,0.8123804189508781,0.028510682258172063
982,18,self_attn_after_gate,Horizontal,1,0.24170133,0.023923606,0.4208608951056578,0.05999706045000045
982,18,self_attn_after_gate,Gaussian,1,0.13137689,0.025235238,0.8471425006038238,0.006993446077211648
982,19,self_attn_after_gate,Vertical,1,0.21624798,0.03642948,0.5480739165951464,0.06463927548046612
982,19,self_attn_after_gate,Horizontal,1,0.24860579,0.008126578,0.34991736263345424,0.020670628421150444
982,19,self_attn_after_gate,Gaussian,1,0.15724406,0.027441762,0.7337033781659139,0.020242094759788484
982,18,cross_attn,Vertical,1,0.27340528,0.062402904,0.014353115259750863,0.017888619476878954
982,18,cross_attn,Horizontal,1,0.2690338,0.047222752,0.0012870524037111243,0.0037627466293540454
982,18,cross_attn,Gaussian,1,0.22868423,0.084372945,0.1757772187459782,0.03299808456014409
982,19,cross_attn,Vertical,1,0.25810075,0.00038965995,0.022779654631616245,0.009311875259743502
982,19,cross_attn,Horizontal,1,0.25809944,0.0004405199,0.013510426541762663,0.0015896320471448359
982,19,cross_attn,Gaussian,1,0.21632548,0.00056938897,0.041795613201821305,0.006203641872690947
982,18,mix_ffn_after_gate,Vertical,1,0.123502426,0.02824934,0.8773382222132642,0.0062397116795795335
982,18,mix_ffn_after_gate,Horizontal,1,0.14970067,0.026750896,0.8180575559421193,0.005345067706246075
982,18,mix_ffn_after_gate,Gaussian,1,0.11445331,0.0202705,0.8641145595354138,0.00458157295712778
982,19,mix_ffn_after_gate,Vertical,1,0.18853977,0.033360466,0.6751595138291716,0.05157915537731007
982,19,mix_ffn_after_gate,Horizontal,1,0.20718443,0.020233195,0.5835006757464065,0.047129948338742504
982,19,mix_ffn_after_gate,Gaussian,1,0.13534112,0.020858206,0.835017335086323,0.00652352241259006
963,18,self_attn_after_gate,Vertical,1,0.18557891,0.059630994,0.6952227971858349,0.06583741400465178
963,18,self_attn_after_gate,Horizontal,1,0.24519132,0.016361658,0.39799919671884226,0.02172169603162172
963,18,self_attn_after_gate,Gaussian,1,0.15221214,0.029049933,0.7800874050442468,0.013003176655842313
963,19,self_attn_after_gate,Vertical,1,0.22859226,0.032766644,0.48184048924547473,0.09862653037437819
963,19,self_attn_after_gate,Horizontal,1,0.24963084,0.010317019,0.31360195185621914,0.02326988211139128
963,19,self_attn_after_gate,Gaussian,1,0.17083578,0.021426426,0.6354974199229696,0.023803868838931912
963,18,cross_attn,Vertical,1,0.2790103,0.1493098,0.04510068005043105,0.020915589236835667
963,18,cross_attn,Horizontal,1,0.26695418,0.012124892,0.028901533586907082,0.006663372038792418
963,18,cross_attn,Gaussian,1,0.22323175,0.04418748,0.1070050194656878,0.03849042344702633
963,19,cross_attn,Vertical,1,0.25810692,0.0005352457,0.05123314323128772,0.009232141904381768
963,19,cross_attn,Horizontal,1,0.25819546,0.000956471,0.008977969204554464,0.002326515638121088
963,19,cross_attn,Gaussian,1,0.21656117,0.00097431126,-0.032334792404305306,0.008847380222524086
963,18,mix_ffn_after_gate,Vertical,1,0.15785146,0.034804504,0.7784951350892265,0.013418895940043524
963,18,mix_ffn_after_gate,Horizontal,1,0.14399667,0.027859503,0.8312175872902204,0.005282152031645323
963,18,mix_ffn_after_gate,Gaussian,1,0.13730387,0.023440355,0.8299149357094251,0.00788310018399299
963,19,mix_ffn_after_gate,Vertical,1,0.19921942,0.030660605,0.6224081959621602,0.06401876140183982
963,19,mix_ffn_after_gate,Horizontal,1,0.20960425,0.01787517,0.5825819223277542,0.029305773533082894
963,19,mix_ffn_after_gate,Gaussian,1,0.15135144,0.020143693,0.7530963622225993,0.01204206535747725
944,18,self_attn_after_gate,Vertical,1,0.19305067,0.059045963,0.6612859092472968,0.08083528945977247
944,18,self_attn_after_gate,Horizontal,1,0.2571739,0.021992808,0.34530642413232215,0.03197050518199341
944,18,self_attn_after_gate,Gaussian,1,0.1672765,0.037634462,0.7461453630079795,0.015299495611011514
944,19,self_attn_after_gate,Vertical,1,0.23801747,0.026478728,0.39996703869250483,0.08371901523423865
944,19,self_attn_after_gate,Horizontal,1,0.25177306,0.008514381,0.2876039778080454,0.022006294479574393
944,19,self_attn_after_gate,Gaussian,1,0.1779598,0.0215209,0.6164822183757905,0.02180423920470219
944,18,cross_attn,Vertical,1,0.269927,0.030790057,0.012362941939772614,0.02340697614995409
944,18,cross_attn,Horizontal,1,0.27540743,0.085272014,0.018587560338607586,0.006039782953404774
944,18,cross_attn,Gaussian,1,0.22842437,0.054483257,0.11777488613915396,0.03125464266155318
944,19,cross_attn,Vertical,1,0.25817665,0.0006871617,-0.011989749972960845,0.005017302725353633
944,19,cross_attn,Horizontal,1,0.25803676,0.000768392,0.0001026042567410599,0.007278651114210974
944,19,cross_attn,Gaussian,1,0.21464081,0.0012050675,-0.04192623163794966,0.010099814804646426
944,18,mix_ffn_after_gate,Vertical,1,0.14102058,0.035033155,0.8212161996432087,0.012161925642524767
944,18,mix_ffn_after_gate,Horizontal,1,0.17658776,0.02770857,0.720789402280267,0.010659974616753555
944,18,mix_ffn_after_gate,Gaussian,1,0.1415747,0.022645745,0.7950608320851528,0.010108355631834185
944,19,mix_ffn_after_gate,Vertical,1,0.1994439,0.030823257,0.6081959846230187,0.06461798408325117
944,19,mix_ffn_after_gate,Horizontal,1,0.21691461,0.013314269,0.4888984409537198,0.02438254105146439
944,19,mix_ffn_after_gate,Gaussian,1,0.16268003,0.018126212,0.7177657932927718,0.010145410634267368
922,18,self_attn_after_gate,Vertical,1,0.2113089,0.060974214,0.6214521521832043,0.09391307541697005
922,18,self_attn_after_gate,Horizontal,1,0.25300494,0.013403088,0.27942969939357454,0.03203599794672636
922,18,self_attn_after_gate,Gaussian,1,0.18515953,0.03670263,0.6485364901900632,0.023719298982990123
922,19,self_attn_after_gate,Vertical,1,0.22988063,0.030902436,0.4561968455997873,0.08799431979590377
922,19,self_attn_after_gate,Horizontal,1,0.25495186,0.0065664225,0.2259558612777981,0.02204610217403336
922,19,self_attn_after_gate,Gaussian,1,0.18137674,0.019178616,0.5614081655318867,0.024090839404479484
922,18,cross_attn,Vertical,1,0.2667505,0.008512675,0.016347771657912284,0.020298629421959338
922,18,cross_attn,Horizontal,1,0.27220196,0.030226504,0.010598166372444963,0.00580122501314537
922,18,cross_attn,Gaussian,1,0.21308638,0.025835626,0.1224145519227918,0.028721879575773383
922,19,cross_attn,Vertical,1,0.25808132,0.00011100191,-0.007212503337586445,0.0009859274600248552
922,19,cross_attn,Horizontal,1,0.2580685,0.00034300954,0.011451394785298767,0.004733442445202107
922,19,cross_attn,Gaussian,1,0.21734005,0.0006961093,0.013870697802103427,0.015061351312960897
922,18,mix_ffn_after_gate,Vertical,1,0.16210617,0.03677683,0.7573113421854119,0.01844851382746011
922,18,mix_ffn_after_gate,Horizontal,1,0.18405968,0.027986746,0.6885107817458993,0.010273153100820966
922,18,mix_ffn_after_gate,Gaussian,1,0.14791192,0.024407566,0.7432422724360308,0.01277585545599697
922,19,mix_ffn_after_gate,Vertical,1,0.2041511,0.028096829,0.5803920064985612,0.061759799709023025
