timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,5,block_output,Vertical,1,0.09184071,0.014683593,0.9382545872676699,0.00018428166401694132
999,5,block_output,Horizontal,1,0.07751281,0.008522878,0.944153397390094,0.0001802018320280989
999,5,block_output,Gaussian,1,0.05489005,0.0065508033,0.9681308508983318,4.2361859537389116e-05
999,6,block_output,Vertical,1,0.06255128,0.012702652,0.9706407400295859,8.488077625091359e-05
999,6,block_output,Horizontal,1,0.06751571,0.008471714,0.9605907592346674,0.00010055696418969173
999,6,block_output,Gaussian,1,0.07725115,0.014186428,0.933681781011445,0.00042177303648265963
999,7,block_output,Vertical,1,0.07992862,0.015612304,0.9568495427666565,0.00025594876513901344
999,7,block_output,Horizontal,1,0.052730527,0.0076788156,0.9775834344805101,4.2494566820673646e-05
999,7,block_output,Gaussian,1,0.074282825,0.01564936,0.9346639724083122,0.0006345473007663068
999,8,block_output,Vertical,1,0.07305914,0.016137905,0.9651642748448935,0.00017171514444220382
999,8,block_output,Horizontal,1,0.0649369,0.01091401,0.9693621782447234,0.00010507218143845318
999,8,block_output,Gaussian,1,0.05863978,0.011093146,0.9572860332435061,0.00019673786018202606
999,9,block_output,Vertical,1,0.08085665,0.022256391,0.9574605303356439,0.0003362172719757054
999,9,block_output,Horizontal,1,0.05182295,0.009075079,0.9816511440984761,4.274012530564938e-05
999,9,block_output,Gaussian,1,0.04149543,0.007760203,0.9788878245450828,5.095605574999239e-05
982,5,block_output,Vertical,1,0.06504793,0.007860807,0.9658182561594768,8.08475285833688e-05
982,5,block_output,Horizontal,1,0.06492186,0.008485429,0.962257517258888,0.00010407535306220105
982,5,block_output,Gaussian,1,0.04700212,0.006317385,0.975451124783731,3.554306335236799e-05
982,6,block_output,Vertical,1,0.07924614,0.015276939,0.9573793181535651,0.00019150702052171613
982,6,block_output,Horizontal,1,0.0770586,0.01333947,0.9555133192747307,0.000184978605178819
982,6,block_output,Gaussian,1,0.06477141,0.01247897,0.9500882308445907,0.00017794941807870653
982,7,block_output,Vertical,1,0.046521835,0.010061353,0.9833629388411755,0.00011341233522750368
982,7,block_output,Horizontal,1,0.06257985,0.009818718,0.9711620711903821,7.212578542462388e-05
982,7,block_output,Gaussian,1,0.041632228,0.0071611432,0.9811011878721022,3.1533204627847e-05
982,8,block_output,Vertical,1,0.06873656,0.014468548,0.9675619150565631,0.0001468524120254222
982,8,block_output,Horizontal,1,0.06752933,0.012212163,0.9668028131241492,0.00013579968343106966
982,8,block_output,Gaussian,1,0.059412774,0.015079367,0.9642948207153039,0.00012248391585934127
982,9,block_output,Vertical,1,0.05451808,0.0130673265,0.9804680082902901,8.228501343172747e-05
982,9,block_output,Horizontal,1,0.0839556,0.014150199,0.9492628159227416,0.0002831444999620417
982,9,block_output,Gaussian,1,0.042430174,0.007523724,0.9803904104026742,3.663483125435598e-05
963,5,block_output,Vertical,1,0.08261314,0.015813634,0.9533738876091721,0.0001855351833881337
963,5,block_output,Horizontal,1,0.07685136,0.010338388,0.9559947931013785,8.421742614873811e-05
963,5,block_output,Gaussian,1,0.070400745,0.010944732,0.9404887025688806,0.0002687899180432484
963,6,block_output,Vertical,1,0.050084263,0.008131771,0.9809532282599808,5.4753097494573716e-05
963,6,block_output,Horizontal,1,0.063057505,0.010731795,0.9695453930081489,7.747602863490979e-05
963,6,block_output,Gaussian,1,0.041149415,0.0066580223,0.9799891042010817,4.6910749635468056e-05
963,7,block_output,Vertical,1,0.06851905,0.011689042,0.9666659607130831,0.00014553081717829454
963,7,block_output,Horizontal,1,0.06838816,0.010789211,0.9656028731372692,0.00010788906174497562
963,7,block_output,Gaussian,1,0.04183831,0.0075239604,0.9807064100064619,4.534083767929e-05
