timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,5,block_output,Vertical,1,0.076595835,0.011536347,0.9516267401610757,0.0001542008823873107
999,5,block_output,Horizontal,1,0.06964345,0.008378609,0.9516068874988808,0.00017654299498276997
999,5,block_output,Gaussian,1,0.058685232,0.0077828867,0.9627940746205175,5.897382520344031e-05
999,6,block_output,Vertical,1,0.057931114,0.0082749855,0.9734361690917461,6.300915908783289e-05
999,6,block_output,Horizontal,1,0.06606949,0.01095973,0.9634631820383038,0.0001247143543622
999,6,block_output,Gaussian,1,0.047568083,0.007958441,0.974761112072177,4.900621433362346e-05
999,7,block_output,Vertical,1,0.08115404,0.014726084,0.9543032553100355,0.00023294192515986453
999,7,block_output,Horizontal,1,0.07444217,0.011231272,0.9582690126024995,0.0001335495110129188
999,7,block_output,Gaussian,1,0.05508382,0.009794032,0.9621560814861223,0.0001615481104873562
999,8,block_output,Vertical,1,0.06216187,0.01386899,0.9747291414648394,0.00010258382525280795
999,8,block_output,Horizontal,1,0.08089874,0.014956938,0.9542099868838828,0.00023495720869835828
999,8,block_output,Gaussian,1,0.046680506,0.009128594,0.9733149254490511,8.821846063995973e-05
999,9,block_output,Vertical,1,0.040183667,0.011708679,0.9890747755374466,2.5492106305388787e-05
999,9,block_output,Horizontal,1,0.058029443,0.01099942,0.975134175983583,0.00010019449126685921
999,9,block_output,Gaussian,1,0.041536808,0.007941869,0.9786615642243397,6.456824563417122e-05
982,5,block_output,Vertical,1,0.053582244,0.007943259,0.9733622578244798,8.149143143028276e-05
982,5,block_output,Horizontal,1,0.061275925,0.0075931996,0.964583239055934,0.00010259502183419141
982,5,block_output,Gaussian,1,0.05803893,0.008280556,0.9606452646737124,0.00010669261444036869
982,6,block_output,Vertical,1,0.072041005,0.011866547,0.9626247338677133,0.00013226054163517092
982,6,block_output,Horizontal,1,0.0889382,0.016021838,0.9439058192500966,0.00027051237097834926
982,6,block_output,Gaussian,1,0.06185681,0.0108144265,0.9534239716736181,0.0001485927992145748
982,7,block_output,Vertical,1,0.07708989,0.014819118,0.9590347803695727,0.00025876798166632426
982,7,block_output,Horizontal,1,0.082366236,0.013550762,0.9512506875874118,0.00019364399001486177
982,7,block_output,Gaussian,1,0.06541764,0.015131629,0.9514708256133177,0.00036960302231288394
982,8,block_output,Vertical,1,0.06862173,0.015220632,0.9672150179591871,0.00017063241299299857
982,8,block_output,Horizontal,1,0.057340696,0.010446338,0.9760885541295476,9.613664046871728e-05
982,8,block_output,Gaussian,1,0.049364157,0.009912618,0.9718015784918653,7.213215268108988e-05
982,9,block_output,Vertical,1,0.059005685,0.012770326,0.97634844421283,0.00011451694849206787
982,9,block_output,Horizontal,1,0.07111683,0.011486434,0.9629476544643804,0.00013788650442289106
982,9,block_output,Gaussian,1,0.042760454,0.008040455,0.9804635948638375,3.603234246130526e-05
963,5,block_output,Vertical,1,0.07709056,0.013249557,0.9599537323808403,0.0001393607143667773
963,5,block_output,Horizontal,1,0.08506772,0.014005395,0.9468804377916488,0.00017536194577891077
963,5,block_output,Gaussian,1,0.052193355,0.0071877283,0.9676777136665821,9.675073567973427e-05
963,6,block_output,Vertical,1,0.084593795,0.02118732,0.9526010102716995,0.0002906871440795971
963,6,block_output,Horizontal,1,0.069822244,0.01064561,0.9640875800825599,0.00010398880858207405
963,6,block_output,Gaussian,1,0.05599977,0.008911761,0.9612597998907872,0.0001462390478592358
963,7,block_output,Vertical,1,0.052395396,0.010521076,0.9803174949696444,9.82826068568883e-05
963,7,block_output,Horizontal,1,0.053160235,0.0079857325,0.9789791694130924,5.3502495330382997e-05
963,7,block_output,Gaussian,1,0.050469466,0.009298347,0.9692736495272612,0.00014110359234707675
963,8,block_output,Vertical,1,0.06397293,0.014876343,0.9715254932195321,0.00021473130319358077
963,8,block_output,Horizontal,1,0.06460195,0.012751647,0.9694953756742136,0.0001556394845913635
963,8,block_output,Gaussian,1,0.06007534,0.012689081,0.9596592914124809,0.00024235730692325763
963,9,block_output,Vertical,1,0.069171816,0.015331666,0.9656524860719634,0.0002597850307288233
963,9,block_output,Horizontal,1,0.067578346,0.01331532,0.9661288754686109,0.000158015767789648
963,9,block_output,Gaussian,1,0.0798063,0.016788356,0.931358729724111,0.0007785766459282912
944,5,block_output,Vertical,1,0.07099102,0.011033477,0.9623782881970095,0.00013855968506115945
944,5,block_output,Horizontal,1,0.072406776,0.0087731425,0.9603928173655153,8.633118479676433e-05
944,5,block_output,Gaussian,1,0.045108665,0.0058915475,0.9760754717362121,5.608070399302324e-05
944,6,block_output,Vertical,1,0.05179114,0.009128734,0.9806674780073876,6.235148694724214e-05
944,6,block_output,Horizontal,1,0.055161096,0.008443382,0.9766565677383069,5.4994683530345134e-05
944,6,block_output,Gaussian,1,0.06250608,0.012831971,0.9539623233178388,0.00028817694204929774
944,7,block_output,Vertical,1,0.05410263,0.011365926,0.9796270680229517,9.712143613103274e-05
944,7,block_output,Horizontal,1,0.054972887,0.008518641,0.9780115097387261,6.967708606035238e-05
944,7,block_output,Gaussian,1,0.08061199,0.016261943,0.928883019529999,0.0006390521684074384
944,8,block_output,Vertical,1,0.06338051,0.01331496,0.9707011585271293,0.00026524527129908633
944,8,block_output,Horizontal,1,0.09154722,0.020342667,0.9425057495615979,0.0005323555890528022
944,8,block_output,Gaussian,1,0.08016042,0.018753793,0.9332472179822223,0.0005575701954965925
944,9,block_output,Vertical,1,0.049594965,0.013010757,0.982775943739108,0.000123176873176212
944,9,block_output,Horizontal,1,0.06254695,0.010677938,0.9704172277009541,0.00015200043266659348
944,9,block_output,Gaussian,1,0.07496244,0.012775258,0.9432329298249504,0.00033255770055094975
922,5,block_output,Vertical,1,0.065836474,0.013255291,0.9704806590068411,9.076982615060158e-05
922,5,block_output,Horizontal,1,0.07872583,0.011673002,0.954981882026195,0.00012747529697796037
922,5,block_output,Gaussian,1,0.062539056,0.0099815475,0.9548216616725504,0.00024077198185145453
922,6,block_output,Vertical,1,0.069489,0.013973874,0.9654931798555216,0.0002633619770180841
922,6,block_output,Horizontal,1,0.067369,0.0106442785,0.9657668775478322,0.00010970788681462476
922,6,block_output,Gaussian,1,0.047600456,0.0075045563,0.9744455180985249,8.635548838279309e-05
922,7,block_output,Vertical,1,0.047912054,0.010553305,0.9835378793319051,8.427421884339704e-05
922,7,block_output,Horizontal,1,0.07176763,0.011457665,0.9618238351511691,0.0001908697956469821
922,7,block_output,Gaussian,1,0.05668497,0.00984911,0.9652256766493794,0.00012159534938575579
922,8,block_output,Vertical,1,0.053071443,0.0127166575,0.9797575426025401,0.00021278503638365082
922,8,block_output,Horizontal,1,0.09294528,0.024362957,0.9372038796167733,0.0009375627676603728
922,8,block_output,Gaussian,1,0.051820092,0.009754703,0.9723913497069161,0.00013174314248909374
922,9,block_output,Vertical,1,0.049136996,0.013365952,0.9821237926673403,0.00016982642825585616
922,9,block_output,Horizontal,1,0.08001666,0.012812724,0.9513072169045167,0.0003248531659552698
922,9,block_output,Gaussian,1,0.09427947,0.01854666,0.9053959525514803,0.0018205409453163305
899,5,block_output,Vertical,1,0.074986674,0.015351393,0.9600078267952906,0.00019418612874649968
899,5,block_output,Horizontal,1,0.06435694,0.00928623,0.9684166825830397,8.961241870700052e-05
899,5,block_output,Gaussian,1,0.04677279,0.007092516,0.9741134505271362,0.00012774592083015937
899,6,block_output,Vertical,1,0.052458435,0.009726382,0.980128639555229,6.716250068833128e-05
899,6,block_output,Horizontal,1,0.05874791,0.008932865,0.9741711586652407,8.89949748308209e-05
899,6,block_output,Gaussian,1,0.07087397,0.017446026,0.9445194321218426,0.0005751351387608542
899,7,block_output,Vertical,1,0.059481848,0.011340604,0.9752641137758062,0.00014600099278025134
