timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,6,self_attn_after_gate,Vertical,1,0.0984637,0.021989591,0.9413811681544739,0.00037744474031829587
999,6,self_attn_after_gate,Horizontal,1,0.1469477,0.028767688,0.8580878791731494,0.002305195796015476
999,6,self_attn_after_gate,Gaussian,1,0.091577604,0.034353167,0.9352997981162596,0.0004691784634931287
999,7,self_attn_after_gate,Vertical,1,0.11386947,0.038543932,0.9315442445528597,0.0013599577993249335
999,7,self_attn_after_gate,Horizontal,1,0.15316755,0.054361254,0.8491891019125102,0.005478375160454725
999,7,self_attn_after_gate,Gaussian,1,0.10708353,0.038923904,0.9260351821784102,0.001124488240762004
999,8,self_attn_after_gate,Vertical,1,0.12382023,0.041105717,0.9202928854295831,0.0025763208427471
999,8,self_attn_after_gate,Horizontal,1,0.12632926,0.04116662,0.918425281757084,0.0037276457411737265
999,8,self_attn_after_gate,Gaussian,1,0.12081331,0.04596831,0.916669794207128,0.002426555208747175
999,6,cross_attn,Vertical,1,0.23285456,0.05559229,0.5428720454073531,0.044334365062796595
999,6,cross_attn,Horizontal,1,0.27051306,0.015458073,0.10442154203970158,0.009107435493493786
999,6,cross_attn,Gaussian,1,0.18530585,0.047090597,0.6772843548986515,0.030591499598279715
999,7,cross_attn,Vertical,1,0.21675408,0.047041405,0.5734401790129859,0.04993967033475966
999,7,cross_attn,Horizontal,1,0.26805845,0.028529387,0.1579982341226553,0.011125015196127169
999,7,cross_attn,Gaussian,1,0.19064653,0.048317812,0.6475235447166429,0.03304333188486525
999,8,cross_attn,Vertical,1,0.22355755,0.041383702,0.5338412424875205,0.04072566976759329
999,8,cross_attn,Horizontal,1,0.2656405,0.012613054,0.0985760570096936,0.009430847401709838
999,8,cross_attn,Gaussian,1,0.16802435,0.03567181,0.6829866973193043,0.025914046970053107
999,6,mix_ffn_after_gate,Vertical,1,0.10132776,0.013032486,0.9275585182622988,0.00043977137985923813
999,6,mix_ffn_after_gate,Horizontal,1,0.12112809,0.016021578,0.8899275257951876,0.0010813948354349047
999,6,mix_ffn_after_gate,Gaussian,1,0.06808151,0.0099697765,0.9490228555001771,0.00016019549255339455
999,7,mix_ffn_after_gate,Vertical,1,0.08998799,0.015640514,0.9423310290370304,0.0004922171652135454
999,7,mix_ffn_after_gate,Horizontal,1,0.1070256,0.014113137,0.9198449484347612,0.0004776015528839265
999,7,mix_ffn_after_gate,Gaussian,1,0.06689463,0.012015531,0.9482252591216899,0.00023737233558323084
999,8,mix_ffn_after_gate,Vertical,1,0.103981875,0.019825645,0.920588897419051,0.0010877931227021315
999,8,mix_ffn_after_gate,Horizontal,1,0.11275144,0.018406969,0.9075931494496108,0.0012926022448829422
999,8,mix_ffn_after_gate,Gaussian,1,0.07298791,0.013174949,0.9323690214913322,0.00154801845201526
982,6,self_attn_after_gate,Vertical,1,0.110491164,0.028950725,0.9353927892326961,0.0008362195856117096
982,6,self_attn_after_gate,Horizontal,1,0.1413978,0.03610402,0.8749304275557529,0.0013146300241587844
982,6,self_attn_after_gate,Gaussian,1,0.09069038,0.03354265,0.9289660842586585,0.0013041238933455934
982,7,self_attn_after_gate,Vertical,1,0.114192106,0.03511046,0.9275458413115273,0.001655046787038536
982,7,self_attn_after_gate,Horizontal,1,0.16120568,0.05173718,0.8269776009450324,0.007449714794753874
982,7,self_attn_after_gate,Gaussian,1,0.10428728,0.031133521,0.9242101899312252,0.0006517273934078672
982,8,self_attn_after_gate,Vertical,1,0.11021617,0.039791394,0.9410899971609412,0.0010925214369338788
982,8,self_attn_after_gate,Horizontal,1,0.12164755,0.039350905,0.9040231577129567,0.0061621311616266395
982,8,self_attn_after_gate,Gaussian,1,0.11103175,0.038702484,0.923039547278065,0.0011696250353105662
982,6,cross_attn,Vertical,1,0.23603301,0.053402964,0.5094723946577897,0.04434037966077965
982,6,cross_attn,Horizontal,1,0.2644055,0.016492328,0.14920423408486058,0.01224997979000503
982,6,cross_attn,Gaussian,1,0.18714994,0.052677553,0.628339505808168,0.053815069861657384
982,7,cross_attn,Vertical,1,0.21774831,0.04278109,0.5624338359906262,0.04460166687027219
982,7,cross_attn,Horizontal,1,0.26123568,0.017063206,0.17542068782367656,0.013464267633509776
982,7,cross_attn,Gaussian,1,0.16947004,0.033940993,0.6635307777197278,0.02276846282595828
982,8,cross_attn,Vertical,1,0.2306956,0.040781803,0.4859083580940515,0.04523166866074212
982,8,cross_attn,Horizontal,1,0.26960188,0.01598746,0.08952150319460797,0.007992337018684422
982,8,cross_attn,Gaussian,1,0.1732448,0.039017886,0.6523720121797928,0.028753401351235365
982,6,mix_ffn_after_gate,Vertical,1,0.10467335,0.015179725,0.9218405757876452,0.0004921621020509386
982,6,mix_ffn_after_gate,Horizontal,1,0.11816342,0.015172939,0.8954927867182814,0.0009840350008508108
982,6,mix_ffn_after_gate,Gaussian,1,0.08076989,0.01170589,0.9258694217191729,0.0004832569910682498
982,7,mix_ffn_after_gate,Vertical,1,0.09402606,0.0144985765,0.936697281010464,0.0005919318338571108
982,7,mix_ffn_after_gate,Horizontal,1,0.112770155,0.014331354,0.9089582905649806,0.0007549392646876929
982,7,mix_ffn_after_gate,Gaussian,1,0.07001076,0.011706544,0.9419482296411933,0.0002838396405862716
982,8,mix_ffn_after_gate,Vertical,1,0.10771216,0.019142816,0.9163560582030162,0.001086741719290148
982,8,mix_ffn_after_gate,Horizontal,1,0.11685074,0.019375874,0.9002954233458726,0.001450225737036121
982,8,mix_ffn_after_gate,Gaussian,1,0.07879447,0.013299411,0.9255206070276395,0.0010767396650920137
963,6,self_attn_after_gate,Vertical,1,0.11890877,0.036828425,0.9202980519948563,0.002244278213167524
963,6,self_attn_after_gate,Horizontal,1,0.13542973,0.03343497,0.8776416890027613,0.0020140977483879456
963,6,self_attn_after_gate,Gaussian,1,0.10258759,0.0329521,0.9179940754716945,0.001545987647402315
963,7,self_attn_after_gate,Vertical,1,0.12429735,0.036331166,0.9147733246909135,0.0037421918840020024
963,7,self_attn_after_gate,Horizontal,1,0.15609807,0.04109185,0.8352811285544999,0.00859798951257773
963,7,self_attn_after_gate,Gaussian,1,0.09775136,0.024947634,0.9252232974343834,0.0009498504744161568
963,8,self_attn_after_gate,Vertical,1,0.112439066,0.035835903,0.9273696233591633,0.00282289897247635
963,8,self_attn_after_gate,Horizontal,1,0.13482624,0.037732575,0.8757260306844923,0.009253062447079576
963,8,self_attn_after_gate,Gaussian,1,0.12662362,0.039414547,0.8812447747253946,0.003300836589262848
963,6,cross_attn,Vertical,1,0.24021973,0.049481157,0.49507538903848086,0.04966826024490006
963,6,cross_attn,Horizontal,1,0.27854574,0.04805076,0.0915851790958088,0.008092003300771007
963,6,cross_attn,Gaussian,1,0.18811521,0.043627564,0.5816989664236618,0.03078878080597013
963,7,cross_attn,Vertical,1,0.22691263,0.049223103,0.49487035190515,0.07303691616076562
963,7,cross_attn,Horizontal,1,0.26381004,0.017170696,0.129220697765431,0.01621648568803848
963,7,cross_attn,Gaussian,1,0.178313,0.04285862,0.6014634771804401,0.038941812410123025
963,8,cross_attn,Vertical,1,0.24739175,0.042311322,0.4106967070420302,0.06113098131629384
963,8,cross_attn,Horizontal,1,0.26628703,0.010842263,0.06626760108860104,0.007673821176817712
963,8,cross_attn,Gaussian,1,0.17692646,0.041994605,0.605543363093783,0.04165454129847426
963,6,mix_ffn_after_gate,Vertical,1,0.10588519,0.01654671,0.9209067962267165,0.0007395772451502128
963,6,mix_ffn_after_gate,Horizontal,1,0.12689276,0.019518225,0.8793304661960559,0.0017269733646390298
963,6,mix_ffn_after_gate,Gaussian,1,0.07421537,0.011101541,0.9356957417641111,0.00033821935623894336
963,7,mix_ffn_after_gate,Vertical,1,0.102052994,0.019285193,0.9244333094973695,0.0011786369381771359
963,7,mix_ffn_after_gate,Horizontal,1,0.114565544,0.017700732,0.9074474593113002,0.0009405114028464686
963,7,mix_ffn_after_gate,Gaussian,1,0.085855156,0.016118236,0.9148382504093097,0.0007567805290546666
963,8,mix_ffn_after_gate,Vertical,1,0.10896166,0.022488028,0.9162457940426324,0.0017250113627222765
963,8,mix_ffn_after_gate,Horizontal,1,0.13103263,0.024192706,0.8694981617792139,0.0027989015748140123
963,8,mix_ffn_after_gate,Gaussian,1,0.09419755,0.015629023,0.8975526840274617,0.001500585805298967
944,6,self_attn_after_gate,Vertical,1,0.10510291,0.028315935,0.9386071105731908,0.0011381407834402453
944,6,self_attn_after_gate,Horizontal,1,0.14841072,0.03452397,0.8408482054273696,0.005316729654794509
944,6,self_attn_after_gate,Gaussian,1,0.10256958,0.032098524,0.9140940822046076,0.0030523700238520917
944,7,self_attn_after_gate,Vertical,1,0.14418775,0.04543584,0.8936786121778384,0.006794837321693453
944,7,self_attn_after_gate,Horizontal,1,0.15312847,0.03834042,0.8350832528572759,0.008140939865033375
