timestep,position,component,gradient_type,kernel_size,mean_mae,std_mae,mean_spearman,var_spearman
999,9,self_attn_after_gate,Vertical,1,0.09479204,0.031386167,0.9490889863470658,0.0015678223250069792
999,9,self_attn_after_gate,Horizontal,1,0.16020532,0.035510466,0.8339200897333218,0.005321319732877572
999,9,self_attn_after_gate,Gaussian,1,0.10049813,0.025972873,0.9294822189122403,0.0012213761041199285
999,10,self_attn_after_gate,Vertical,1,0.12845,0.047893364,0.9183827139867299,0.00560147256996103
999,10,self_attn_after_gate,Horizontal,1,0.21268632,0.05320545,0.6633225406119145,0.012441905524424772
999,10,self_attn_after_gate,Gaussian,1,0.12797351,0.044287372,0.9131495364111707,0.001325196128672567
999,11,self_attn_after_gate,Vertical,1,0.12646286,0.043349586,0.9133819816580215,0.0074125268924574664
999,11,self_attn_after_gate,Horizontal,1,0.1644721,0.047435973,0.8265445148226062,0.012307162949066664
999,11,self_attn_after_gate,Gaussian,1,0.12173472,0.043328475,0.9119699926000425,0.0030005341791699194
999,9,cross_attn,Vertical,1,0.23126535,0.040800907,0.428804009599304,0.05891750478130438
999,9,cross_attn,Horizontal,1,0.2650262,0.011199642,0.037293022724886854,0.003845746907640382
999,9,cross_attn,Gaussian,1,0.1766303,0.0336055,0.5777736940210169,0.04179819005391395
999,10,cross_attn,Vertical,1,0.21780199,0.04878248,0.5241566033740916,0.061582607230901566
999,10,cross_attn,Horizontal,1,0.26399773,0.008406469,0.035067382037966104,0.004354932256205253
999,10,cross_attn,Gaussian,1,0.18591921,0.03287515,0.567165504647261,0.029297715013625845
999,11,cross_attn,Vertical,1,0.25829467,0.0318826,0.22432943662899743,0.0513886665592795
999,11,cross_attn,Horizontal,1,0.26580966,0.009243333,0.04184897659619215,0.0051216531888408435
999,11,cross_attn,Gaussian,1,0.20576786,0.034399025,0.4400852249420425,0.05402644767704873
999,9,mix_ffn_after_gate,Vertical,1,0.08449544,0.019829813,0.9492823733928796,0.0008812969594387053
999,9,mix_ffn_after_gate,Horizontal,1,0.09455161,0.015996423,0.930667794098921,0.0009432943605419045
999,9,mix_ffn_after_gate,Gaussian,1,0.07274964,0.0128492,0.9397267305551772,0.0005860439740142967
999,10,mix_ffn_after_gate,Vertical,1,0.08533546,0.018137336,0.9424221793441455,0.0010057711313293373
999,10,mix_ffn_after_gate,Horizontal,1,0.09027991,0.014988379,0.9350700421691207,0.0007228503547833333
999,10,mix_ffn_after_gate,Gaussian,1,0.071809486,0.012838966,0.9432893618161196,0.0004745395834277083
999,11,mix_ffn_after_gate,Vertical,1,0.07616199,0.017025776,0.9572149739111389,0.0005101812337781372
999,11,mix_ffn_after_gate,Horizontal,1,0.08372582,0.014045344,0.9464291482629047,0.00039809226451564014
999,11,mix_ffn_after_gate,Gaussian,1,0.072851,0.015385537,0.9391646285352884,0.0005383181330030261
982,9,self_attn_after_gate,Vertical,1,0.09881897,0.030422213,0.9383285915654024,0.002805215384673867
982,9,self_attn_after_gate,Horizontal,1,0.16144677,0.038260467,0.8505200477953765,0.00448843178548887
982,9,self_attn_after_gate,Gaussian,1,0.12041487,0.02829829,0.8994795720484238,0.0024820402087500225
982,10,self_attn_after_gate,Vertical,1,0.14242126,0.053190716,0.8955909427577307,0.009805019485777045
982,10,self_attn_after_gate,Horizontal,1,0.22262569,0.047400285,0.596414912659869,0.01959717000111634
982,10,self_attn_after_gate,Gaussian,1,0.14666745,0.05567461,0.8788830377664943,0.004782010215902897
982,11,self_attn_after_gate,Vertical,1,0.13168105,0.04527483,0.9034664398530389,0.010076994393644269
982,11,self_attn_after_gate,Horizontal,1,0.16973971,0.05075846,0.8012613573012,0.014700097410527628
982,11,self_attn_after_gate,Gaussian,1,0.13003623,0.05100778,0.9026579573878972,0.002868863553241737
982,9,cross_attn,Vertical,1,0.23806877,0.041585665,0.40239882924256704,0.05956384088996667
982,9,cross_attn,Horizontal,1,0.26546046,0.012916279,0.022151237988682456,0.0037644856977626017
982,9,cross_attn,Gaussian,1,0.17943124,0.037606966,0.5416825745907983,0.04640134018135554
