timestep,kernel,gradient_type,mae
136,1,Vertical,0.12405567
749,1,Vertical,0.10747095
749,3,Vertical,0.07875136
999,1,Vertical,0.05134522
999,3,Vertical,0.047911968
899,1,Vertical,0.084982775
899,3,Vertical,0.06318747
136,3,Vertical,0.08919011
499,3,Vertical,0.085333884
499,1,Vertical,0.12014984
136,1,Horizontal,0.16410957
499,1,Horizontal,0.15446135
136,1,Gaussian,0.12157896
499,1,Gaussian,0.11586759
749,1,Gaussian,0.102765195
136,3,Gaussian,0.1067703
749,3,Gaussian,0.091897376
899,3,Horizontal,0.0739119
999,3,Horizontal,0.045579087
999,1,Gaussian,0.050177205
899,1,Horizontal,0.10944373
999,1,Horizontal,0.067088485
749,1,Horizontal,0.13692313
899,3,Gaussian,0.07555607
899,1,Gaussian,0.082623065
136,3,Horizontal,0.10292742
749,3,Horizontal,0.08940479
499,3,Gaussian,0.10224761
499,3,Horizontal,0.0969219
999,3,Gaussian,0.060709957
0,1,Vertical,0.26022136
0,1,Horizontal,0.26043576
0,3,Vertical,0.28355867
0,3,Horizontal,0.28550553
0,3,Gaussian,0.24420086
0,1,Gaussian,0.21814851
