timestep,kernel,layer,component,gradient_type,spearman
999,1,layer_15,self_attn,Gaussian,0.26824280267859274
999,1,layer_15,self_attn,Vertical,0.2728777656023952
999,1,layer_00,self_attn,Gaussian,-0.00013118967234962048
999,1,layer_10,self_attn,Vertical,0.30542114553692695
999,1,layer_05,self_attn,Vertical,0.6537375016851688
999,1,layer_19,self_attn,Vertical,-0.053249108414103734
999,1,layer_15,self_attn,Horizontal,0.40738932669507016
999,1,layer_10,self_attn,Gaussian,0.427986226566651
999,1,layer_05,self_attn,Horizontal,0.513057496723896
999,1,layer_05,self_attn,Gaussian,0.48874390198427514
999,1,layer_19,self_attn,Gaussian,0.034397992047396596
999,1,layer_19,self_attn,Horizontal,-0.005936118516199435
999,1,layer_10,self_attn,Horizontal,0.40800319410438773
999,1,layer_00,self_attn,Horizontal,-0.0008881167970195015
999,1,layer_00,self_attn,Vertical,0.0012744638419964743
