timestep,kernel,gradient_type,spearman
136,1,Horizontal,0.7534093429747805
499,1,Horizontal,0.793472977275899
136,1,Gaussian,0.8353772674144914
499,1,Gaussian,0.8521501499217058
749,1,Gaussian,0.8941738858913526
136,3,Gaussian,0.8897673197387049
749,3,Gaussian,0.9322567682362096
899,3,Horizontal,0.9617645751015561
999,3,Horizontal,0.9885151435839838
999,1,Gaussian,0.9755780942599251
899,1,Horizontal,0.9022374792250976
999,1,Horizontal,0.9642362038954545
749,1,Horizontal,0.8442549297000153
899,3,Gaussian,0.9575354479159338
899,1,Gaussian,0.9409257358990869
136,3,Horizontal,0.9177326634112121
749,3,Horizontal,0.9387539230336567
499,3,Gaussian,0.9030478733638848
499,3,Horizontal,0.9271002859490635
999,3,Gaussian,0.9773993104764661
136,1,Vertical,0.8605135507516452
749,1,Vertical,0.9029588329273033
749,3,Vertical,0.9583552386416904
999,1,Vertical,0.981236157769802
999,3,Vertical,0.9906089684106394
899,1,Vertical,0.9426023748588921
899,3,Vertical,0.9745901307378243
136,3,Vertical,0.9399174409344523
499,3,Vertical,0.9485786987209988
499,1,Vertical,0.8728184529298988
0,1,Vertical,0.0008571031666397947
0,1,Horizontal,-0.00120825851759851
0,3,Vertical,0.0028025873017187767
0,3,Horizontal,-0.004681496294712121
0,3,Gaussian,-0.0027190518671541984
0,1,Gaussian,-0.0018367916983245535
